Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),52778,63531,63363,64638,64334,65146,87499,90019,93129,94865
"% Teachers: Government",-,78.4,76.9,76.6,75.0,72.0,73.1,71.4,70.6,69.9
"% Teachers: Private Aided",-,0.4,0.3,0.4,0.3,0.3,0.0,0.0,-,0.0
"% Teachers: Private Unaided",-,21.3,22.8,23.1,24.3,27.0,26.9,28.6,29.4,30.1
Pupil-Teacher Ratio: Elementary,20,17,17,16,16,15,11,11,10,10
"% Female Teachers",40.5,42.1,42.7,43.0,43.6,44.9,45.4,46.0,46.6,47.3
"% SC Teachers",-,14.4,14.6,15.1,15.2,15.4,14.9,14.7,15.0,15.1
"% ST Teachers",-,5.8,6.2,6.1,6.3,6.1,6.1,6.4,6.5,6.6
"% OBC Teachers",-,10.4,10.5,10.7,10.7,11.0,10.4,10.2,10.4,10.6
"% Teachers Recieved in-Service Training",63.8,55.1,60.5,57.6,60.3,60.7,45.0,28.2,25.1,13.3
"% Contract Teachers to Total Teachers",12.9,16.2,15.5,16.7,22.3,25.3,-,-,31.8,31.8
