indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,1038360,1089695,1288047.0,1308028.0,1310212.0,1239955,1218785,1223462.0,1243923.0,1249053.0
Enrolment: Classes VI-VIII,528777,571180,619777.0,665266.0,687926.0,668275,640316,617716.0,609123.0,607723.0
"Enrolment: Classes I-V, Government",-,676901,842293.0,828998.0,781948.0,723555,720412,710141.0,687844.0,690598.0
"Enrolment:Classes V5I-4V.0III,Government",-,366884,398285.0,424653.0,431417.0,408069,392893,366567.0,337903.0,334045.0
"Enrolment: Clas3s1e.s4 I-V, Private",-,412794,445754.0,479030.0,528172.0,505175,498373,513321.0,556079.0,558399.0
"Enrolment: Classes VI-VIII, Private",-,204296,221492.0,240613.0,256509.0,250446,247423,251149.0,271220.0,273678.0
% Girls Enrolment: P50ri.m2 ary Level,46.0,46.5,47.4,47.4,47.4,47.3,47.4,47.7,47.7,47.8
% Girls Enrolme2n9.t1: U.Primary Level,44.7,45.0,45.6,46.0,46.5,46.8,47.0,47.4,47.5,47.6
Ratio of Girls Enr.to Boys: Primary,0.85,0.87,0.9,0.9,0.9,0.90,0.90,0.91,0.91,0.92
Ratio of Girls Enr.to Boys: U.Primary,0.81,0.82,0.84,0.85,0.87,0.88,0.89,0.9,0.9,0.91
% SC Enrolment: Classes I-VIII,9.5,8.9,8.6,8.4,8.4,8.0,7.9,8.4,8.3,8.3
% ST Enrolment: Cla5s2s.e9s  I-VIII,12.9,13.1,14.4,14.5,14.6,15.1,16.6,15.2,15.5,15.8
% OBC Enrolment: Primary Level,6.1,6.5,8.3,9.5,9.0,9.8,9.1,8.5,9.1,8.5
% OBC Enrolment:U.Primary Level,6.0,6.7,8.7,9.3,8.6,9.9,8.9,8.3,8.9,8.2
% Muslim Enrolment:5 P4.r0imary Level,-,59.3,66.4,67.8,67.5,68.5,67.4,67.0,67.3,67.5
% Muslim Enrolm34e.n9t: U. Primary Level,-,58.2,64.0,65.1,65.4,66.2,65.8,65.0,64.9,64.5
Ratio of Grade V to I,83,100,89.0,88.0,82.0,76,74,76.0,76.0,75.0
Avg. Repetition Rate: Primary Level,1.7,1.5,1.0,1.2,1.7,0.7,0.7,0.7,0.6,0.2
Avg.Repetition Rate: U.Primary Level,-,3.4,2.5,2.4,1.9,1.5,1.5,1.2,0.8,0.4
Avg. Drop-out Rate: P53ri.m9 ary Level,8.5,1.3,0.2,3.5,1.2,11.3,1178.3.4,6.3,5.5,6.8
Retention Rate: Primary Level,-,-,79.8,84.6,86.4,-,77.6,74.2,73.7,75.8
Transition Rate: Primary to U.Primary,-,93.7,97.1,94.3,90.8,86.6,90.5,93.3,94.4,93.6
