indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),89408,107141.0,124324.0,124127.0,149531,138546,147034,151772,155282,157847.0
% Teachers: Government,-,64.0,64.3,63.3,64.7,62.6,63.7,63.3,63.0,62.5
% Teachers: Private Aided,-,0.0,0.0,0.0,-,-,-,-,-,0.0
% Teachers: Private Unaided,-,35.9,35.6,36.7,34.6,36.8,36.3,36.7,37.0,37.5
Pupil-Teacher Ratio: Elementary,18,16.0,15.0,16.0,13,14,13,12,12,12.0
% Female Teachers,41.6,43.6,43.2,44.2,43.5,44.3,44.1,44.5,45.0,44.9
% SC Teachers,-,4.9,4.9,4.9,4.8,4.8,4.6,4.6,4.6,4.4
% ST Teachers,-,8.3,8.7,8.8,8.7,8.8,8.8,8.8,8.8,8.8
% OBC Teachers,-,5.8,7.5,7.7,7.2,8.7,7.9,7.1,7.1,6.5
% Teachers Recieved in-Service Training,39.0,28.0,22.7,19.7,19.2,18.8,14.9,11.7,5.2,2.0
% Contract Teachers to Total Teachers,0.5,22.4,24.3,20.0,5.3,17.2,-,-,14.3,12.8
