School Indicators4.6,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Number of Distri3c.t3s Covered,14,22,22,22,22,22,22,22,22,22,
"Total Schools10.6",19451,20789,25415,26097,27095,27493,28131,28307,28543,28578,
Total Government Schools,-,16502,20866,21310,22180,22538,23103,23234,23378,23329,
Total Private Schools,-,4287,4549,4786,4914,4955,5028,5073,5165,5247,
Ratio of Primary to U.PrimarySch1./0S.7ec.,2.4,2.3,2.5,2.3,2.1,2.1,2.0,2.0,2.0,2.0,
Primary Sch./Sec.per 1000 Child Popln.,17,19,15,23,24,25,25,19,19,19,
U.Prim. Sch./Sec.per 1000 Child Popln.,11,13,23,17,20,20,21,16,16,16,
"% Single-Teacher Schools with Enr.≥15",3.8,3.3,10.9,10.0,6.5,5.0,4.1,3.5,2.8,3.3,
"% Enrolment in Single-Teacher Schools",1.8,1.4,5.1,4.8,3.0,2.4,2.0,1.8,1.5,1.8,
"% Schools with En4ro.6lment ≤ 50",51.7,50.6,54.2,54.4,56.6,57.9,58.6,60.2,61.4,61.5,
"% Schools with F3e.4male Teachers",68.7,70.8,73.1,73.4,73.3,72.1,72.1,72.2,71.3,71.3,
