Facility Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,20112-0112,210312-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,19,17,17,17,16,15,14,14,14,13
"% Schools with Drinking Water",62.0,75.9,78.7,86.3,86.9,8220.17,1488.4,89.8,90.7,92.3
"% Schools with Common Toilet",30.4,37.8,35.3,33.9,-,-,-,-,-,-
"% Schools with Boys' Toilet",-,-,-,14.0,17.2,50.2,25.4x,82.5x,83.8x,92.0
"% Schools with Girls' Toilet",17.3,22.0,20.4,24.2,25.8,3220.18,15 64.2x,65.4x,66.9x,94.9
"% Schools with Boundarywall",33.8,33.6,29.7,30.2,31.5,31.1,31.7,32.1,33.4,34.8
"% School with Playground Facility",-,-,-,37.7,37.6,3260.13,1636.0,36.5,36.4,37.1
"% Schools with Ramp",2.0,11.0,10.7,11.9,12.1,12.5,64.5**,63.0**,32.5**,62.9**
"% Schools havining Electricity",-,-,18.1,18.3,19.6,19.3,20.4,21.3,25.3,29.9
"% Schools with Computer",8.6,13.0,11.7,12.7,14.7,14.5,15.0,15.8,16.5,17.2
"% Schools Providing Mid-day Meal*",-,-,-,97.7,94.3,96.9,97.8,99.1,99.4,99.5
