indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Distric3t.s7 Covered,22,22.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
Total Schools9.4,36211,41944.0,41850.0,41875.0,44675.0,44835.0,45760.0,46348.0,46773.0,47441.0
Total Government Schools,-,39511.0,39461.0,39624.0,40505.0,40343.0,40674.0,40666.0,40603.0,40437.0
Total Private Schools,-,2124.0,2082.0,2250.0,2703.0,2475.0,2583.0,2335.0,2354.0,2586.0
Ratio of Primary to U.PrimarySch1./0S.4ec.,4.0,3.1,2.9,2.6,2.4,2.5,2.5,2.4,2.4,2.4
Primary Sch./Sec.per 1000 Child Popln.,10,12.0,7.0,12.0,13.0,13.0,13.0,11.0,11.0,11.0
U.Prim. Sch./Sec.per 1000 Child Popln.,4,6.0,12.0,7.0,8.0,8.0,8.0,9.0,9.0,10.0
% Single-Teacher Schools with Enr.≥15,24.9,8.2,7.4,7.9,9.5,12.2,12.5,14.4,15.8,15.6
% Enrolment in Single-Teacher Schools,13.0,4.5,3.6,4.1,4.1,5.2,5.3,6.3,7.0,6.8
% Schools with Enro5.l0ment ≤ 50,16.2,11.0,12.5,17.0,19.7,22.7,25.4,27.4,29.4,30.9
% Schools with Fem4.a6le Teachers,65.0,54.6,54.5,54.8,57.4,59.1,59.4,60.9,54.6,56.5
