indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),111288,148322.0,152168.0,147804.0,166672.0,166766.0,170509,170189,171573.0,181866.0
% Teachers: Government,-,88.7,88.3,89.7,80.8,75.9,74.4,71.4,68.5,68.2
% Teachers: Private Aided,-,4.1,4.0,4.8,4.2,4.0,3.8,3.6,3.3,3.0
% Teachers: Private Unaided,-,6.4,6.9,5.5,8.6,10.5,10.7,10.3,11.3,11.3
Pupil-Teacher Ratio: Elementary,48,45.0,43.0,44.0,41.0,40.0,39,39,38.0,36.0
% Female Teachers,29.3,28.3,28.1,27.7,29.2,31.7,31.7,32.4,33.3,34.1
% SC Teachers,-,8.5,8.3,8.4,7.8,7.5,7.4,7.3,7.2,7.1
% ST Teachers,-,27.0,26.3,26.2,24.8,24.2,23.8,23.5,23.2,23.1
% OBC Teachers,-,40.2,40.6,41.0,38.1,36.1,36.1,36.2,36.2,36.3
% Teachers Recieved in-Service Training,37.4,36.9,28.0,21.0,42.7,49.3,28.6,33.2,25.7,21.5
% Contract Teachers to Total Teachers,22.4,44.6,47.3,50.8,49.4,49.5,-,-,52.4,46.6
Enrolment: Classes I-V,4494753,5464268.0,5166716.0,4939161.0,5017173.0,4753088.0,4653133,4582759.0,4463367.0,4453527.0
Enrolment: Classes VI-VIII,812381,1255404.0,1436228.0,1584772.0,1823571.0,1907171.0,1965317,2042264.0,2077422.0,2068541.0
"Enrolment: Classes I-V, Government",-,5048602.0,4762670.0,4437680.0,4172351.0,3892148.0,3647149,3528498.0,3348595.0,3273922.0
"Enrolment:Classes VI-VIII,8G0o.3vernment",-,1070996.0,1239852.0,1319844.0,1419978.0,1476527.0,1497416,1493054.0,1479273.0,1455103.0
"Enrolment: Classe3s9 .I9-V, Private",-,363664.0,354968.0,501481.0,574640.0,535594.0,610035,539604.0,525393.0,544318.0
"Enrolment: Classes VI-VIII, Private",-,172386.0,182643.0,264928.0,312311.0,313054.0,349911,361248.0,377241.0,385493.0
% Girls Enrolment: Primary8 L4e.3vel,47.5,49.0,49.3,49.5,49.2,49.0,49.1,49.0,49.0,48.9
% Girls Enrolment4: 1U.8.Primary Level,44.1,46.4,47.3,48.8,49.1,49.8,50.0,50.0,50.0,50.2
Ratio of Girls Enr.to Boys: Primary,0.90,0.96,0.97,0.98,0.97,0.96,0.96,0.96,0.96,0.96
Ratio of Girls Enr.to Boys: U.Primary,0.79,0.87,0.9,0.95,0.96,0.99,1.00,1.0,1.0,1.01
% SC Enrolment: Classes I-VIII,14.3,15.0,14.8,14.9,14.4,14.7,14.8,14.7,14.8,14.8
% ST Enrolment: Classes7  3I.-0VIII,32.7,30.5,30.7,29.8,29.2,29.0,28.9,28.5,28.4,28.3
% OBC Enrolment: Primary Level,42.3,44.3,45.4,44.2,45.3,45.8,44.4,44.5,44.7,44.9
% OBC Enrolment:U.Primary Level,46.6,47.4,48.7,47.5,48.5,50.1,49.0,49.1,49.2,49.3
