School Indicator4s.1,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Number of Distric3t.s7 Covered,22,22,24,24,24,24,24,24,24,24,
"Total Schools9.4",36211,41944,41850,41875,44675,44835,45760,46348,46773,47441,
Total Government Schools,-,39511,39461,39624,40505,40343,40674,40666,40603,40437,
Total Private Schools,-,2124,2082,2250,2703,2475,2583,2335,2354,2586,
Ratio of Primary to U.PrimarySch1./0S.4ec.,4.0,3.1,2.9,2.6,2.4,2.5,2.5,2.4,2.4,2.4,
Primary Sch./Sec.per 1000 Child Popln.,10,12,7,12,13,13,13,11,11,11,
U.Prim. Sch./Sec.per 1000 Child Popln.,4,6,12,7,8,8,8,9,9,10,
"% Single-Teacher Schools with Enr.≥15",24.9,8.2,7.4,7.9,9.5,12.2,12.5,14.4,15.8,15.6,
"% Enrolment in Single-Teacher Schools",13.0,4.5,3.6,4.1,4.1,5.2,5.3,6.3,7.0,6.8,
"% Schools with Enro5.l0ment ≤ 50",16.2,11.0,12.5,17.0,19.7,22.7,25.4,27.4,29.4,30.9,
"% Schools with Fem4.a6le Teachers",65.0,54.6,54.5,54.8,57.4,59.1,59.4,60.9,54.6,56.5,
