Facility Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,20112-0112,210312-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,62,60,54,47,37,33,30,28,27,26
"% Schools with Drinking Water",71.7,70.7,71.7,85.4,87.4,9200.10,1490.8,91.2,91.8,93.5
"% Schools with Common Toilet",21.4,34.7,40.9,30.4,-,-,-,-,-,-
"% Schools with Boys' Toilet",-,-,-,32.7,52.1,75.4,60.8x,89.6x,90.1x,96.5
"% Schools with Girls' Toilet",11.6,20.7,28.2,49.3,60.0,6280.12,15 83.7x,84.8x,84.2x,96.8
"% Schools with Boundarywall",28.5,23.5,22.5,21.5,25.2,26.5,25.0,26.9,30.5,31.1
"% School with Playground Facility",-,-,-,28.0,31.0,3200.10,1631.3,32.0,32.7,40.5
"% Schools with Ramp",4.3,5.6,7.0,14.0,31.2,36.6,63.6**,67.5**,60.1**,74.0**
"% Schools havining Electricity",-,-,6.8,7.5,9.8,10.4,11.1,12.0,16.9,18.4
"% Schools with Computer",4.7,5.5,5.8,6.0,7.2,8.1,8.3,8.7,9.3,9.8
"% Schools Providing Mid-day Meal*",-,-,-,95.0,92.3,97.1,96.8,97.5,98.0,98.2
