Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Total Teachers (Elementary),111288,148322,152168,147804,166672,166766,170509,170189,171573,181866,
"% Teachers: Government",-,88.7,88.3,89.7,80.8,75.9,74.4,71.4,68.5,68.2,
"% Teachers: Private Aided",-,4.1,4.0,4.8,4.2,4.0,3.8,3.6,3.3,3.0,
"% Teachers: Private Unaided",-,6.4,6.9,5.5,8.6,10.5,10.7,10.3,11.3,11.3,
Pupil-Teacher Ratio: Elementary,48,45,43,44,41,40,39,39,38,36,
"% Female Teachers",29.3,28.3,28.1,27.7,29.2,31.7,31.7,32.4,33.3,34.1,
"% SC Teachers",-,8.5,8.3,8.4,7.8,7.5,7.4,7.3,7.2,7.1,
"% ST Teachers",-,27.0,26.3,26.2,24.8,24.2,23.8,23.5,23.2,23.1,
"% OBC Teachers",-,40.2,40.6,41.0,38.1,36.1,36.1,36.2,36.2,36.3,
"% Teachers Recieved in-Service Training",37.4,36.9,28.0,21.0,42.7,49.3,28.6,33.2,25.7,21.5,
"% Contract Teachers to Total Teachers",22.4,44.6,47.3,50.8,49.4,49.5,-,-,52.4,46.6,
