indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),227785,259940.0,267094.0,279086.0,297948.0,387130.0,306350,314595,315408.0,312662.0
% Teachers: Government,-,71.4,71.2,68.3,65.2,58.7,61.8,60.2,57.9,56.2
% Teachers: Private Aided,-,5.8,5.3,5.9,5.8,11.2,6.0,5.9,6.0,6.0
% Teachers: Private Unaided,-,22.9,23.6,25.8,28.4,29.7,32.1,33.8,36.0,37.7
Pupil-Teacher Ratio: Elementary,30,30.0,29.0,27.0,26.0,22.0,25,26,26.0,27.0
% Female Teachers,50.6,53.2,54.6,55.1,56.4,52.8,57.9,57.7,59.4,60.3
% SC Teachers,-,11.5,13.1,13.0,13.1,13.2,13.6,13.1,12.7,12.5
% ST Teachers,-,2.9,3.6,4.3,4.7,4.6,4.8,4.9,5.1,5.1
% OBC Teachers,-,23.7,46.5,48.2,37.9,52.8,52.5,52.6,54.2,55.9
% Teachers Recieved in-Service Training,12.5,36.2,50.0,67.5,61.4,71.6,38.9,50.0,35.3,37.1
% Contract Teachers to Total Teachers,0.2,0.0,0.5,0.5,0.6,0.6,-,-,4.7,2.0
Enrolment: Classes I-V,5006382,5617390.0,5536034.0,5418842,5410240.0,5417838.0,5379332,5352623.0,5374024.0,5406246.0
Enrolment: Classes VI-VIII,1908074,2304878.0,2272266.0,2217903,2260252.0,3007019.0,3017399,2970933.0,2971724.0,2934127.0
"Enrolment: Classes I-V, Government",-,3837130.0,3625777.0,3370494,3217810.0,3066719.0,2933661,2847433.0,2776770.0,2723764.0
"Enrolment:Classes VI-VIII,Gov9e5.r1nment",-,1608354.0,1522501.0,1418022,1407218.0,1681437.0,1687570,1429887.0,1583729.0,1525500.0
"Enrolment: Classes I-V, Priva9t1e.4",-,1780260.0,1910257.0,2048348,2190670.0,2328684.0,2444820,2504247.0,2592996.0,2681170.0
"Enrolment: Classes VI-VIII, Private",-,696524.0,749765.0,799881,852527.0,1308844.0,1329538,1041857.0,1386750.0,1408420.0
% Girls Enrolment: Primary Le9v5e.8l,48.6,48.4,48.4,48.4,48.3,48.2,48.1,48.4,48.4,48.4
