"School Indicators5.4",2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Number of Districts C4o.4vered,27,33,33,33,34,34,34,34,34,34,
"Total Schools9.2",54085,56441,57517,58159,59484,70896,60984,61369,61628,61739,
Total Government Schools,-,45622,46199,46325,46550,50885,46218,46030,45654,45556,
Total Private Schools,-,10819,11318,11834,12903,19966,14742,15310,15929,16157,
Ratio of Primary to U.PrimarySc8h.0./Sec.,2.0,2.0,1.8,1.8,1.8,1.3,1.8,1.7,1.7,1.7,
Primary Sch./Sec.per 1000 Child Popln.,10,11,10,11,12,12,12,11,11,12,
U.Prim. Sch./Sec.per 1000 Child Popln.,8,8,11,10,10,14,11,11,11,11,
"% Single-Teacher Schools with Enr.≥15",5.1,7.8,4.5,3.9,3.2,3.4,3.9,3.9,4.6,5.0,
"% Enrolment in Single-Teacher Schools",2.2,3.9,1.9,1.5,1.2,1.3,1.4,1.3,1.8,1.9,
"% Schools with Enrolme5n.6t ≤ 50",42.4,34.8,36.6,37.8,38.6,40.9,39.6,40.6,41.3,41.5,
"% Schools with Fema4le.6 Teachers",78.6,80.2,81.4,81.3,82.0,83.5,83.6,83.6,82.6,83.1,
