Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Total Teachers (Elementary),227785,259940,267094,279086,297948,387130,306350,314595,315408,312662,
"% Teachers: Government",-,71.4,71.2,68.3,65.2,58.7,61.8,60.2,57.9,56.2,
"% Teachers: Private Aided",-,5.8,5.3,5.9,5.8,11.2,6.0,5.9,6.0,6.0,
"% Teachers: Private Unaided",-,22.9,23.6,25.8,28.4,29.7,32.1,33.8,36.0,37.7,
Pupil-Teacher Ratio: Elementary,30,30,29,27,26,22,25,26,26,27,
"% Female Teachers",50.6,53.2,54.6,55.1,56.4,52.8,57.9,57.7,59.4,60.3,
"% SC Teachers",-,11.5,13.1,13.0,13.1,13.2,13.6,13.1,12.7,12.5,
"% ST Teachers",-,2.9,3.6,4.3,4.7,4.6,4.8,4.9,5.1,5.1,
"% OBC Teachers",-,23.7,46.5,48.2,37.9,52.8,52.5,52.6,54.2,55.9,
"% Teachers Recieved in-Service Training",12.5,36.2,50.0,67.5,61.4,71.6,38.9,50.0,35.3,37.1,
"% Contract Teachers to Total Teachers",0.2,0.0,0.5,0.5,0.6,0.6,-,-,4.7,2.0,
