indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts Covered9.6,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
Total Schools11.5,11381,12426.0,12352.0,12425.0,12924.0,15534.0,16287.0,17023.0,16419.0,16458.0
Total Government Schools,-,5087.0,5042.0,5095.0,4950.0,5135.0,4946.0,5111.0,4888.0,4573.0
Total Private Schools,-,7311.0,7302.0,7327.0,7943.0,9230.0,10081.0,10151.0,9788.0,10225.0
Ratio of Primary to U.PrimarySch./S11e.c6.,1.8,1.8,1.8,1.8,1.7,1.7,1.8,1.7,1.8,1.8
Primary Sch./Sec.per 1000 Child Popln.,3,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0
U.Prim. Sch./Sec.per 1000 Child Popln.,3,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0
% Single-Teacher Schools with Enr.≥15,0.1,0.1,0.5,0.5,0.1,1.4,1.1,1.0,0.9,0.8
% Enrolment in Single-Teacher Schools,0.0,0.0,0.3,0.3,0.0,0.2,0.2,0.1,0.1,0.1
% Schools with Enrolment ≤ 50 10.0,7.0,9.4,12.2,14.0,15.6,21.8,23.2,24.6,25.3,25.3
% Schools with Female Tea8c.h1ers,100.0,99.5,99.4,99.5,99.4,99.6,98.5,99.7,99.7,99.6
