Enrolment Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,2057012,2130628,2019411,1987815,2016955,2286189,2471358,2482397,2467280,2468629
Enrolment: Classes VI-VIII,1243534,1395082,1365186,1368183,1421950,1533674,1620477,1619549,1582034,1543787
"Enrolment: Classes I-V, Government",-,754693,717002,696498,638650,574749,534134,513001,508538,505013
"Enrolment:Classes VI-VIII,Gov9e8rn.6ment",-,486343,463497,464425,432372,407239,414433,406565,397961,384112
"Enrolment: Classes I-V, Priva9t1e.1",-,1375046,1302409,1291317,1371739,1576149,1764547,1750977,1748038,1779724
"Enrolment: Classes VI-VIII, Private",-,908487,901689,903758,987156,1086203,1165787,1168213,1142056,1122192
"% Girls Enrolment: Primary Le9v7e.2l",49.4,49.6,49.5,49.6,49.5,49.1,48.8,48.8,48.8,48.9
"% Girls Enrolment: U.Primary 9L6e.v5el",48.3,48.9,48.9,48.9,48.9,48.6,48.6,48.6,48.7,48.8
Ratio of Girls Enr.to Boys: Primary,0.98,0.98,0.98,0.98,0.98,0.96,0.95,0.95,0.95,0.96
Ratio of Girls Enr.to Boys: U.Primary,0.93,0.96,0.96,0.96,0.96,0.94,0.95,0.95,0.95,0.95
"% SC Enrolment: Classes I-VIII",11.0,11.3,11.4,11.5,10.7,9.8,9.5,9.1,8.9,8.9
"% ST Enrolment: Classes  I-V91II.I8",2.1,1.9,2.2,2.3,2.6,2.6,1.9,1.7,1.8,1.8
"% OBC Enrolment: Primary Level",60.3,62.6,63.4,63.8,61.9,60.0,63.6,66.0,65.8,66.7
"% OBC Enrolment:U.Primary Level",58.0,60.5,61.0,62.1,61.0,60.0,62.7,64.7,64.9,65.3
"% Muslim Enrolment: Primar8y7 L.5evel",-,21.5,26.2,33.2,31.7,31.3,32.0,34.5,34.0,34.5
"% Muslim Enrolment: U. Prim9a0.r8y Level",-,19.1,22.0,29.2,28.8,29.2,30.5,32.8,32.7,33.3
Ratio of Grade V to I,-,-,-,-,-,-,-,-,-,99
Avg. Repetition Rate: Primary Level,3.0,3.1,3.0,1.5,2.1,1.8,1.0,0.3,0.1,0.2
Avg.Repetition Rate: U.Primary Level,-,4.9,4.8,2.1,3.0,2.2,0.6,0.1,0.1,0.1
Avg. Drop-out Rate: Primary L9e7v.0el,1.3,-,-,-,-,706.1.,-,-,-,-
Retention Rate: Primary Level,-,-,-,-,-,-,-,-,-,-
