"School Indicators10.4",2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
"Number of Districts Covered10.4",1,1,1,1,1,1,1,1,1,1,
Total Sc0h.o0ols,30,37,39,44,46,46,44,44,43,41,
Total Government Schools,-,37,39,44,46,46,44,44,43,41,
Total Private Schools,-,0,0,0,0,0,0,0,0,0,
Ratio of 0P.0rimary to U.PrimarySch./Sec.,1.6,1.4,1.4,1.5,1.6,1.4,1.4,1.4,1.4,1.5,
Primary Sch./Sec.per 1000 Child Popln.,4,4,5,5,5,5,5,6,6,6,
U.Prim. Sch./Sec.per 1000 Child Popln.,4,5,5,6,5,6,6,7,7,6,
"% Single-Teacher Schools with Enr.≥15",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"% Enrolment in Single-Teacher Schools",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"% Schools with Enrolment ≤ 590.2",3.3,-,2.6,4.6,4.4,6.5,2.3,6.8,9.3,9.8,
"% Schools with Female Teach9e.r2s",90.0,94.6,92.3,90.9,100.0,100.0,97.7,100.0,100.0,100.0,
