Facility Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,20112-0112,210312-13,2013-14,2014-15,2015-16,
Student-Classroom Ratio,27,24,22,22,22,21,23,21,20,19,
"% Schools with Drinking Water",86.7,100.0,100.0,100.0,100.0,10200.10,14100.0,100.0,100.0,100.0,
"% Schools with Common Toilet",83.3,75.7,76.9,59.1,-,-,-,-,-,-,
"% Schools with Boys' Toilet",-,-,-,63.6,60.9,89.1,72.7x,100.0x,100.0x,100.0,
"% Schools with Girls' Toilet",50.0,62.2,64.1,70.5,63.0,7280.13,15100.0x,100.0x,100.0x,100.0,
"% Schools with Boundarywall",73.3,40.5,46.2,56.8,45.7,43.5,50.0,47.7,51.2,58.5,
"% School with Playground Facility",-,-,-,25.0,26.1,2230.19,1638.6,27.3,25.6,24.4,
"% Schools with Ramp",60.0,75.7,82.1,70.5,58.7,60.9,90.5**,72.2**,65.0**,75.0**,
"% Schools havining Electricity",-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
"% Schools with Computer",36.7,81.1,89.7,93.2,95.7,97.8,97.7,100.0,100.0,100.0,
