Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),595,552,667,742,727,897,827,894,940,888
"% Teachers: Government",-,100.0,100.0,100.0,96.4,96.3,100.0,100.0,100.0,100.0
"% Teachers: Private Aided",-,0.0,0.0,0.0,-,-,-,-,-,0.0
"% Teachers: Private Unaided",-,0.0,0.0,0.0,-,-,-,-,-,0.0
Pupil-Teacher Ratio: Elementary,16,20,16,14,14,11,12,9,8,9
"% Female Teachers",36.1,40.2,38.9,38.1,41.4,46.5,45.3,42.7,43.4,46.4
"% SC Teachers",-,0.2,0.2,0.4,0.7,0.6,0.4,0.5,0.9,1.1
"% ST Teachers",-,97.6,98.4,96.5,96.4,91.3,95.4,94.3,95.2,94.8
"% OBC Teachers",-,0.2,0.6,1.5,0.7,1.2,1.1,1.5,1.4,1.6
"% Teachers Recieved in-Service Training",69.1,50.7,68.6,59.8,59.7,50.7,28.1,23.9,14.5,51.4
"% Contract Teachers to Total Teachers",0.3,0.6,0.0,0.3,11.2,13.7,-,-,13.3,17.0
