indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,52,33,31,30.0,29,27,26,24,22,21
% Schools with Drinking Water,84.7,92.0,92.7,94.0,91.2,9280.10,1496.2,96.1,96.2,96.3
% Schools with Common Toilet,34.5,71.6,74.2,55.6,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,24.3,28.2,89.7,72.3x,97.3x,96.3x,96.3
% Schools with Girls' Toilet,21.4,47.0,47.6,37.9,38.8,7260.13,15 92.8x,88.8x,83.9x,96.7
% Schools with Boundarywall,55.1,46.2,43.4,43.0,42.4,45.0,43.9,44.2,45.7,45.7
% School with Playground Facility,-,-,-,60.0,54.4,5260.17,1656.7,60.4,65.2,65.5
% Schools with Ramp,16.7,34.2,47.8,53.6,53.8,55.1,71.0**,74.1**,78.9**,81.4**
% Schools havining Electricity,-,-,20.6,20.1,20.6,22.6,23.1,24.3,26.3,26.7
% Schools with Computer,10.4,12.4,10.4,10.5,10.1,11.0,12.4,13.1,14.3,14.6
% Schools Providing Mid-day Meal*,-,-,-,93.7,96.0,97.8,97.0,97.1,97.6,97.8
