School Indicators3.9,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Number of Distric3t.s1 Covered,48,48,50,50,50,50,50,50,51,51,
"Total Schools7.5",121335,129000,132746,134965,137113,140993,141859,142844,142512,142587,
Total Government Schools,-,106408,109757,111510,112014,112078,112895,114444,114420,114465,
Total Private Schools,-,22592,22989,23455,23801,27148,27227,26668,26367,26452,
Ratio of Primary to U.PrimaryS7.c5h./Sec.,2.8,2.6,2.5,2.4,2.4,2.3,2.2,2.1,2.1,2.1,
Primary Sch./Sec.per 1000 Child Popln.,13,13,9,13,14,14,14,13,13,13,
U.Prim. Sch./Sec.per 1000 Child Popln.,8,8,13,9,10,10,11,11,11,11,
"% Single-Teacher Schools with Enr.≥15",24.3,15.2,14.3,13.8,14.7,14.5,18.6,13.0,12.4,12.5,
"% Enrolment in Single-Teacher Schools",15.6,9.3,9.0,8.6,9.7,9.9,10.3,8.9,8.4,8.4,
"% Schools with Enro4.lm2 ent ≤ 50",23.2,19.7,22.3,24.7,24.8,27.1,29.4,32.6,37.5,41.9,
"% Schools with Fe3m.3ale Teachers",66.7,65.3,66.7,67.1,67.7,68.3,68.1,68.6,62.9,63.3,
