Enrolment Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,10190213,11356276,11288846,10927623,10712010,10396617,9988985,9569006,8679685,8110856
Enrolment: Classes VI-VIII,3345216,4054424,4281847,4557366,4781679,4921211,5076548,5025083,4822784,4691113
"Enrolment: Classes I-V, Government",-,8186460,7895459,7478142,7405517,6829830,6497447,6109426,5416112,4839476
"Enrolment:Classes VI-6V1I.I2I,Government",-,2561616,2767422,2988020,3248363,3337584,3415737,3402060,3299619,3139830
"Enrolment: Clas3s2e.s5 I-V, Private",-,3169816,3393387,3449481,3185816,3388622,3340817,3311553,3137231,3166205
"Enrolment: Classes VI-VIII, Private",-,1492808,1514425,1569346,1516703,1531890,1630221,1589647,1491364,1523542
"% Girls Enrolment: Prima7r1y.6 Level",48.9,48.9,49.3,49.3,49.2,48.8,48.3,47.7,47.4,47.3
"% Girls Enrolment3:9 U.9.Primary Level",44.2,45.7,47.2,48.5,49.4,50.1,49.9,49.5,48.8,48.3
Ratio of Girls Enr.to Boys: Primary,0.95,0.96,0.97,0.97,0.97,0.95,0.93,0.91,0.90,0.90
Ratio of Girls Enr.to Boys: U.Primary,0.79,0.84,0.89,0.94,0.98,1.01,0.99,0.98,0.95,0.93
"% SC Enrolment: Classes I-VIII",15.8,17.6,17.3,17.4,17.2,17.2,17.6,17.4,17.3,17.2
"% ST Enrolment: Classe6s9  .I0-VIII",19.2,23.6,23.7,23.8,24.3,24.6,25.1,24.6,24.6,24.3
"% OBC Enrolment: Primary Level",41.4,41.5,42.3,42.5,42.1,41.8,41.5,42.0,42.5,42.6
"% OBC Enrolment:U.Primary Level",44.9,44.9,45.6,45.7,45.2,44.7,43.9,44.2,44.4,44.3
"% Muslim Enrolment: Pr6im8.a3ry Level",-,3.3,3.2,4.3,4.6,5.0,5.4,5.2,5.3,5.5
"% Muslim Enr2o2lm.9ent: U. Primary Level",-,3.1,3.1,3.8,4.1,4.3,4.5,4.7,4.6,4.8
Ratio of Grade V to I,72,79,78,78,83,96,94,99,-,98
Avg. Repetition Rate: Primary Level,0.1,13.6,10.4,7.9,5.6,1.5,4.0,3.0,1.0,1.1
Avg.Repetition Rate: U.Primary Level,-,11.8,7.0,5.3,3.5,0.8,3.3,2.4,0.6,0.6
Avg. Drop-out Rate: Prima7r6y. 9Level,9.8,8.6,6.6,8.2,8.6,8.3,6.13,3.96.1,10.1,6.6
Retention Rate: Primary Level,-,94.3,75.1,71.8,70.1,74.2,73.5,75.2,75.3,76.5
Transition Rate: Primary to U.Primary,-,68.0,80.3,83.0,84.5,88.7,87.6,87.4,85.8,88.7
