indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,9926924,10321392.0,10401607.0,10356617.0,10384478.0,10337189,10284359,10188809,10125716.0,10026502.0
Enrolment: Classes VI-VIII,5031763,5336705.0,5516597.0,5497441.0,5697291.0,5848702,5942184,5969982,6046718.0,6017273.0
"Enrolment: Classes I-V, Government",-,6253487.0,6203678.0,6106276.0,5928421.0,5704915,5441805,4946840,4758698.0,4564449.0
"Enrolment:Classes VI-VIII,Gov9e9rn.1ment",-,1492708.0,1493257.0,1477483.0,1493521.0,1526555,1544086,1365219,1447037.0,1384773.0
"Enrolment: Classes I-V, Priv8a6t.e3",-,4067905.0,4197929.0,4250341.0,4453269.0,4611551,4789217,5165223,5308008.0,5396810.0
"Enrolment: Classes VI-VIII, Private",-,3843997.0,4023340.0,4019958.0,4202987.0,4318939,4389369,4217729,4590235.0,4622230.0
% Girls Enrolment: Primary Lev99e.l2,47.5,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.0,46.9
% Girls Enrolment: U.Primary9 0L.e2vel,46.8,46.8,47.0,46.9,46.8,46.6,46.5,46.4,46.5,46.7
Ratio of Girls Enr.to Boys: Primary,0.90,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.88
Ratio of Girls Enr.to Boys: U.Primary,0.88,0.88,0.89,0.88,0.88,0.87,0.87,0.87,0.87,0.88
% SC Enrolment: Classes I-VIII,14.4,14.7,14.7,14.5,14.3,14.2,14.0,13.6,13.5,13.2
% ST Enrolment: Classes  I-VII9I8.8,10.9,11.3,11.6,11.6,11.8,11.9,12.1,11.7,11.8,12.0
% OBC Enrolment: Primary Level,34.5,32.4,32.3,32.2,32.9,32.8,33.5,33.6,33.5,33.3
% OBC Enrolment:U.Primary Level,33.3,32.8,32.7,32.9,33.7,33.7,34.9,34.9,34.6,34.2
% Muslim Enrolment: Primary L9e8v.8el,-,8.6,9.3,12.0,12.8,13.6,13.7,13.6,13.7,13.7
% Muslim Enrolment: U. Prim88a.r9y Level,-,7.2,8.0,10.4,11.3,11.9,12.2,12.4,12.6,12.9
Ratio of Grade V to I,87,87.0,88.0,91.0,97.0,-,-,-,99.0,98.0
Avg. Repetition Rate: Primary Level,6.1,5.2,5.3,3.7,1.2,0.0,0.4,0.3,0.1,0.1
Avg.Repetition Rate: U.Primary Level,-,5.2,4.6,2.6,1.1,0.0,0.3,0.2,0.1,0.1
Avg. Drop-out Rate: Primary Le9v9e.4l,6.2,3.4,3.1,3.3,2.1,1.9,103.80.6,1.0,0.6,1.3
Retention Rate: Primary Level,-,98.5,88.8,87.7,88.7,92.8,91.2,94.2,97.3,97.7
