indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts 3C.9overed,35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,36.0,36.0
Total Schools8.6,84286,87280.0,92053.0,94124.0,97278.0,100084.0,95235.0,96179.0,97084.0,98213.0
Total Government Schools,-,61708.0,65979.0,67573.0,68972.0,69781.0,69541.0,67307.0,67382.0,67294.0
Total Private Schools,-,25548.0,26069.0,26551.0,28253.0,29935.0,25002.0,28130.0,29126.0,30383.0
Ratio of Primary to U.PrimarySch8..4/Sec.,1.8,1.5,1.6,1.7,1.6,1.8,1.8,1.9,1.9,1.9
Primary Sch./Sec.per 1000 Child Popln.,6,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
U.Prim. Sch./Sec.per 1000 Child Popln.,6,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0
% Single-Teacher Schools with Enr.≥15,5.4,2.3,6.0,3.4,2.1,1.5,1.1,1.2,2.1,2.0
% Enrolment in Single-Teacher Schools,1.1,0.5,1.1,0.7,0.5,0.4,0.3,0.3,0.5,0.5
% Schools with Enrolm5e.1nt ≤ 50,31.7,31.9,35.2,36.6,37.8,38.9,37.9,39.3,39.4,40.1
% Schools with Fem3a.9le Teachers,67.7,69.7,70.9,69.6,68.7,68.9,71.0,71.5,71.9,71.0
