"School Indicators5.3",2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts 3C.9overed,35,35,35,35,35,35,35,35,36,36
"Total Schools8.6",84286,87280,92053,94124,97278,100084,95235,96179,97084,98213
Total Government Schools,-,61708,65979,67573,68972,69781,69541,67307,67382,67294
Total Private Schools,-,25548,26069,26551,28253,29935,25002,28130,29126,30383
Ratio of Primary to U.PrimarySch8..4/Sec.,1.8,1.5,1.6,1.7,1.6,1.8,1.8,1.9,1.9,1.9
Primary Sch./Sec.per 1000 Child Popln.,6,7,8,8,8,8,8,8,8,8
U.Prim. Sch./Sec.per 1000 Child Popln.,6,7,8,8,8,7,7,7,7,7
"% Single-Teacher Schools with Enr.≥15",5.4,2.3,6.0,3.4,2.1,1.5,1.1,1.2,2.1,2.0
"% Enrolment in Single-Teacher Schools",1.1,0.5,1.1,0.7,0.5,0.4,0.3,0.3,0.5,0.5
"% Schools with Enrolm5e.1nt ≤ 50",31.7,31.9,35.2,36.6,37.8,38.9,37.9,39.3,39.4,40.1
"% Schools with Fem3a.9le Teachers",67.7,69.7,70.9,69.6,68.7,68.9,71.0,71.5,71.9,71.0
