Facility Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Student-Classroom Ratio,40,32,31,31,31,31,33,32,31,31,
"% Schools with Drinking Water",82.6,87.5,87.7,93.7,92.2,9240.13,1498.4,99.3,99.6,99.7,
"% Schools with Common Toilet",58.7,75.1,77.1,32.5,-,-,-,-,-,-,
"% Schools with Boys' Toilet",-,-,-,64.7,68.4,92.5,89.6x,99.3x,99.5x,99.2,
"% Schools with Girls' Toilet",47.5,60.0,63.9,69.6,71.5,7270.13,15 98.1x,97.6x,99.0x,99.4,
"% Schools with Boundarywall",58.0,59.6,58.1,60.0,58.6,59.1,68.3,76.4,82.7,81.9,
"% School with Playground Facility",-,-,-,67.6,63.1,6230.14,1675.0,82.5,87.5,87.2,
"% Schools with Ramp",59.2,62.8,61.3,65.4,65.1,65.0,86.7**,89.2**,91.9**,93.0**,
"% Schools havining Electricity",-,-,71.4,71.7,74.1,75.9,85.0,86.0,93.8,93.8,
"% Schools with Computer",23.1,36.5,37.2,39.4,40.8,44.5,47.4,50.6,54.3,56.9,
"% Schools Providing Mid-day Meal*",-,-,-,94.7,91.3,94.3,96.6,97.1,97.4,97.2,
