indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,22,21,19,20.0,22,21,22,21,19,19
% Schools with Drinking Water,73.7,75.9,76.6,92.1,89.2,9240.18,1488.3,89.1,88.5,99.7
% Schools with Common Toilet,37.0,51.1,51.4,43.5,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,16.9,23.0,93.1,70.6x,98.7x,95.8x,98.7
% Schools with Girls' Toilet,15.7,18.0,18.6,23.2,26.4,8270.11,15 94.7x,95.0x,94.4x,98.8
% Schools with Boundarywall,28.7,33.0,28.9,31.8,30.4,31.0,32.5,31.4,31.0,29.7
% School with Playground Facility,-,-,-,56.3,55.9,5260.19,1651.2,54.1,53.9,53.5
% Schools with Ramp,1.5,7.4,5.0,6.0,5.3,6.7,74.0**,51.0**,94.0**,91.9**
% Schools havining Electricity,-,-,21.3,21.6,23.1,24.1,24.3,26.9,29.5,38.3
% Schools with Computer,11.0,11.3,12.0,15.7,18.2,20.9,22.2,24.9,24.5,26.1
% Schools Providing Mid-day Meal*,-,-,-,96.7,98.0,96.3,80.7,83.9,87.2,91.1
