Enrolment Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,335683,352871,331209,343935,363833,366372,388548,395119,355297,345320
Enrolment: Classes VI-VIII,102392,123810,120348,126352,139849,141692,151487,154778,152759,157276
"Enrolment: Classes I-V, Government",-,173637,156257,162103,159221,159055,166267,168273,104767,147184
"Enrolment:Classe36s. 3VI-VIII,Government",-,35565,31239,32353,33937,31179,35462,39178,39515,40836
"Enrolment: Clas3s1e.s7 I-V, Private",-,179234,174952,181832,192865,193888,207360,211257,187671,187889
"Enrolment: Classes VI-VIII, Private",-,88245,89109,93999,102500,103972,111304,110966,109159,113222
"% Girls Enrolmen3t:9 .P2rimary Level",49.7,49.7,49.9,49.9,49.7,49.6,49.8,49.9,49.4,49.4
"% Girls Enrolm21e.1nt: U.Primary Level",49.2,49.0,49.9,50.0,49.6,49.8,49.6,49.5,50.1,49.7
Ratio of Girls Enr.to Boys: Primary,0.99,0.99,1.00,1.00,0.99,0.98,0.99,0.99,0.98,0.98
Ratio of Girls Enr.to Boys: U.Primary,0.97,0.96,0.99,1.00,0.98,0.99,0.98,0.98,1.00,0.99
"% SC Enrolment: Classes I-VIII",3.2,3.7,3.2,3.3,4.3,4.4,4.8,3.8,4.3,4.5
"% ST Enrolment:3 C5.l3asses  I-VIII",37.8,42.7,43.9,45.4,44.9,45.4,51.2,44.1,42.8,42.1
"% OBC Enrolment: Primary Level",8.8,8.0,10.2,8.6,10.1,12.0,14.1,21.4,22.9,24.3
"% OBC Enrolment:U.Primary Level",11.7,11.4,12.5,11.5,14.5,15.9,17.7,23.5,23.1,24.7
"% Muslim Enrolm3e4n.5t: Primary Level",-,-,-,6.0,7.7,9.0,9.3,9.1,9.7,10.2
"% Muslim Enro2lm8.0ent: U. Primary Level",-,-,-,5.1,6.3,7.6,8.7,8.4,8.7,9.0
Ratio of Grade V to I,40,50,53,56,61,62,59,61,76,76
Avg. Repetition Rate: Primary Level,-,1.8,2.2,3.6,2.8,1.6,0.5,0.4,0.3,0.5
Avg.Repetition Rate: U.Primary Level,-,0.6,0.8,1.3,2.6,1.5,0.8,0.3,0.2,0.3
Avg. Drop-out Rate4: 4P.7rimary Level,-,20.0,19.6,10.5,9.1,12.1,148.89.6,9.9,18.0,9.7
Retention Rate: Primary Level,-,-,-,45.9,56.5,55.1,64.5,64.2,65.5,63.1
Transition Rate: Primary to U.Primary,-,84.0,78.6,85.7,88.4,82.9,85.8,87.7,84.4,84.7
