School Indicato3r.0s,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Number of Distr2ic.6ts Covered,7,7,7,7,7,7,7,7,11,11,
"Total Schools3.5",8128,10572,11467,11749,12414,12796,12878,13045,13175,13277,
Total Government Schools,-,3999,3747,3682,7596,7803,7853,7757,7755,7764,
Total Private Schools,-,6570,7693,8057,4781,4974,4940,5177,5284,5398,
Ratio of Primary to3 .U5.PrimarySch./Sec.,3.7,3.2,3.1,2.5,2.6,2.5,2.5,2.5,2.5,2.5,
Primary Sch./Sec.per 1000 Child Popln.,25,35,18,39,43,42,42,24,25,25,
U.Prim. Sch./Sec.per 1000 Child Popln.,11,16,39,22,22,23,23,20,22,23,
"% Single-Teacher Schools with Enr.≥15",7.1,10.5,9.1,8.2,7.2,5.4,5.8,5.5,5.9,5.9,
"% Enrolment in Single-Teacher Schools",6.0,7.6,6.4,5.8,4.9,3.7,4.0,3.8,4.2,4.0,
"% Schools with E3.n0rolment ≤ 50",61.7,66.1,69.4,69.5,67.2,65.5,65.4,64.7,64.2,63.0,
"% Schools with 2F.e7male Teachers",77.1,80.3,81.0,81.1,81.0,80.6,80.8,100.0,80.1,80.4,
