Facility Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,20112-0112,210312-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,21,19,18,18,18,19,19,19,19,19
"% Schools with Drinking Water",35.8,50.6,50.6,61.1,58.6,5290.19,1459.1,60.9,62.9,62.6
"% Schools with Common Toilet",22.0,30.7,32.8,43.9,-,-,-,-,-,-
"% Schools with Boys' Toilet",-,-,-,11.0,21.3,60.1,46.5x,55.1x,68.4x,87.7
"% Schools with Girls' Toilet",7.7,10.2,11.2,31.7,24.0,3260.19,15 45.0x,50.1x,60.5x,85.6
"% Schools with Boundarywall",18.4,17.8,19.0,17.9,18.9,17.7,17.8,18.3,19.0,17.6
"% School with Playground Facility",-,-,-,36.7,36.1,3250.18,1632.5,32.3,32.8,33.1
"% Schools with Ramp",2.1,5.3,8.0,12.3,16.5,19.4,61.0**,68.4**,69.8**,78.1**
"% Schools havining Electricity",-,-,14.1,13.7,14.0,14.0,16.6,18.9,23.3,24.6
"% Schools with Computer",1.8,6.2,7.3,7.4,7.1,7.5,7.6,8.4,9.0,9.7
"% Schools Providing Mid-day Meal*",-,-,-,89.2,89.2,89.4,92.7,98.1,97.9,97.5
