Enrolment Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Enrolment: Classes I-V,361204,459689,459714,470689,507945,516342,513920,528194,539085,547730,
Enrolment: Classes VI-VIII,72320,116409,126400,135638,152184,189274,198795,209930,217370,227883,
"Enrolment: Classes I-V, Government",-,181998,154372,148816,276437,276064,268374,273670,274301,278145,
"Enrolment:Class3e2s.1 VI-VIII,Government",-,26572,22265,16993,60211,81323,98216,95597,98405,101625,
"Enrolment: C15la.1sses I-V, Private",-,277691,305342,321873,230296,239233,242150,250596,259599,264027,
"Enrolment: Classes VI-VIII, Private",-,89837,104135,118645,91729,106803,100326,113567,118180,124624,
"% Girls Enrolme3n1t.0: Primary Level",50.4,50.2,50.4,50.3,50.4,50.3,50.1,50.1,49.9,49.9,
"% Girls Enro1lm5.2ent: U.Primary Level",52.0,52.4,53.4,53.0,52.9,52.9,53.0,53.2,52.7,52.7,
Ratio of Girls Enr.to Boys: Primary,1.02,1.01,1.01,1.01,1.02,1.01,1.00,1.00,1.00,1.00,
Ratio of Girls Enr.to Boys: U.Primary,1.08,1.10,1.14,1.13,1.12,1.12,1.13,1.13,1.12,1.11,
"% SC Enrolment: Classes I-VIII",1.1,1.0,1.2,1.2,1.1,1.1,1.1,1.4,1.3,1.1,
"% ST Enrolment:3 4C.l0asses  I-VIII",92.9,93.1,92.0,91.9,91.6,91.4,91.3,90.8,90.8,90.8,
"% OBC Enrolment: Primary Le1v00e.l0",0.7,0.5,0.7,0.7,0.7,0.5,0.6,0.7,0.6,0.7,
"% OBC Enrolment:U.Primary Level",1.2,0.9,1.2,1.0,1.2,0.8,0.8,0.9,0.8,0.9,
"% Muslim Enrolm31e.3nt: Primary Level",-,0.2,0.4,2.4,3.3,3.5,2.3,3.4,3.3,3.4,
"% Muslim E1n0.r7olment: U. Primary Level",-,0.2,0.7,2.7,3.0,3.2,1.7,3.9,3.8,3.9,
Ratio of Grade V to I,38,46,49,55,53,46,49,54,57,60,
Avg. Repetition Rate: Primary Level,8.3,5.4,5.6,3.0,5.1,3.9,3.1,2.8,3.1,3.5,
Avg.Repetition Rate: U.Primary Level,-,6.2,5.7,3.0,4.5,4.6,3.4,3.2,5.5,5.5,
Avg. Drop-out Rat3e8:. 4Primary Level,22.5,20.8,18.6,17.3,12.7,15.1,19133.1.9,10.1,10.3,9.5,
Retention Rate: Primary Level,-,50.1,57.2,55.5,56.1,60.4,51.9,57.5,54.4,54.3,
Transition Rate: Primary to U.Primary,-,82.8,85.1,96.9,98.6,84.7,-,-,94.5,94.7,
