Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),25445,34652,38713,37896,40640,40757,41048,43395,43170,44148
"% Teachers: Government",-,33.3,28.5,26.0,55.0,55.7,55.8,52.4,52.6,51.9
"% Teachers: Private Aided",-,58.7,61.9,62.8,31.6,30.0,25.9,27.8,28.3,28.5
"% Teachers: Private Unaided",-,8.0,9.7,11.1,12.9,13.9,17.8,19.1,18.1,18.5
Pupil-Teacher Ratio: Elementary,17,17,15,16,16,17,17,17,18,18
"% Female Teachers",50.2,51.1,51.8,52.3,52.5,53.2,53.3,54.0,54.2,54.9
"% SC Teachers",-,1.7,1.7,1.5,1.4,1.2,1.3,1.3,1.3,1.3
"% ST Teachers",-,90.0,89.7,90.5,89.2,90.1,89.7,89.1,89.3,89.2
"% OBC Teachers",-,1.2,1.3,1.2,1.3,1.1,1.1,1.1,1.1,1.1
"% Teachers Recieved in-Service Training",6.1,20.7,17.8,19.4,25.3,34.7,38.5,29.0,17.1,8.7
