Facility Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Student-Classroom Ratio,20,19,19,19,18,18,18,15,14,15,
"% Schools with Drinking Water",72.6,79.2,80.6,85.7,86.1,9200.11,1489.9,94.3,91.9,92.7,
"% Schools with Common Toilet",77.5,77.3,81.7,73.8,-,-,-,-,-,-,
"% Schools with Boys' Toilet",-,-,-,32.8,32.9,72.9,25.0x,99.7x,100.0x,97.7,
"% Schools with Girls' Toilet",16.9,23.5,34.2,56.6,62.4,7260.11,15 97.3x,73.9x,96.9x,99.2,
"% Schools with Boundarywall",35.1,30.7,30.0,41.7,58.3,61.6,60.8,61.6,56.8,54.0,
"% School with Playground Facility",-,-,-,20.4,32.1,4200.13,1649.2,52.7,55.2,64.2,
"% Schools with Ramp",11.0,27.6,37.2,38.5,40.6,46.6,74.1**,47.4**,52.9**,73.0**,
"% Schools havining Electricity",-,-,32.4,34.1,42.5,50.3,50.0,59.2,71.1,73.4,
"% Schools with Computer",10.2,13.9,15.6,17.6,23.0,28.5,27.6,32.0,29.5,29.6,
"% Schools Providing Mid-day Meal*",-,-,-,93.0,96.6,93.2,91.8,98.2,99.6,99.5,
