Enrolment Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Enrolment: Classes I-V,162316,177710,175506,181367,174025,179993,176069,149401,145210,145317,
Enrolment: Classes VI-VIII,57770,57408,62739,65242,61302,78660,78644,68562,68965,69000,
"Enrolment: Classes I-V, Government",-,125093,123273,132990,113919,133395,130260,88050,76154,75631,
"Enrolment:Classes VI-V6II8I,.0Government",-,38309,44650,48352,40649,55959,57115,41139,36293,36771,
"Enrolment: Cl2a1s.s8es I-V, Private",-,52617,52233,48377,59480,45725,45476,37524,68904,69613,
"Enrolment: Classes VI-VIII, Private",-,19099,18089,16890,20437,22088,21516,18428,32616,32205,
"% Girls Enrolment: Prim7a0ry.2 Level",48.5,48.6,48.4,48.4,47.5,48.2,48.0,48.3,48.2,48.2,
"% Girls Enrol1m8e.7nt: U.Primary Level",49.0,49.1,49.2,49.2,47.9,48.7,48.5,48.4,48.3,48.1,
Ratio of Girls Enr.to Boys: Primary,0.94,0.95,0.94,0.94,0.91,0.93,0.92,0.93,0.93,0.93,
Ratio of Girls Enr.to Boys: U.Primary,0.96,0.96,0.97,0.97,0.92,0.95,0.94,0.94,0.93,0.93,
"% SC Enrolment: Classes I-VIII",0.5,0.2,0.4,0.2,0.2,0.2,0.2,0.4,0.5,0.5,
"% ST Enrolment: Class5e9.s6  I-VIII",97.1,99.2,98.8,99.3,98.5,98.7,99.2,98.5,98.4,97.7,
"% OBC Enrolment: Primary Level",0.4,0.2,0.3,0.2,0.4,0.3,0.3,0.6,0.1,0.4,
"% OBC Enrolment:U.Primary Level",0.5,0.4,0.3,0.1,0.5,0.3,0.3,0.5,0.2,0.5,
"% Muslim Enrolmen4t7: .P8rimary Level",-,-,0.2,0.1,0.2,0.4,0.2,0.5,0.5,1.0,
"% Muslim En1r6o.6lment: U. Primary Level",-,-,-,0.1,0.1,0.1,0.1,0.5,0.3,0.6,
Ratio of Grade V to I,71,72,72,76,63,65,67,63,63,62,
Avg. Repetition Rate: Primary Level,5.6,2.6,3.1,2.4,3.5,0.7,0.3,0.2,1.3,0.3,
Avg.Repetition Rate: U.Primary Level,-,3.0,3.5,2.1,3.3,0.7,0.2,0.1,1.6,0.3,
Avg. Drop-out Rate: Primary L9e4v.e9l,3.2,8.0,7.3,5.3,12.0,7.0,19120.4.6,24.1,13.0,10.1,
Retention Rate: Primary Level,-,71.2,69.7,69.0,61.6,74.0,65.8,57.6,54.3,54.9,
Transition Rate: Primary to U.Primary,-,-,98.3,-,85.3,92.7,96.1,84.1,94.3,96.0,
