Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Total Teachers (Elementary),13233,16357,17263,16447,16387,18582,19108,18745,18747,18482,
"% Teachers: Government",-,74.4,76.9,76.6,72.7,79.5,80.0,68.4,62.6,63.4,
"% Teachers: Private Aided",-,2.9,2.0,2.3,2.8,1.6,2.0,2.2,3.7,3.3,
"% Teachers: Private Unaided",-,22.7,21.1,21.1,23.8,18.3,17.7,19.0,33.6,33.2,
Pupil-Teacher Ratio: Elementary,17,14,14,15,14,14,13,12,11,12,
"% Female Teachers",41.5,42.6,43.1,42.5,42.2,44.3,44.0,45.3,46.2,46.6,
"% SC Teachers",-,1.1,1.0,1.0,0.8,0.6,0.7,0.7,0.5,0.3,
"% ST Teachers",-,96.2,96.9,96.8,96.9,96.5,96.9,97.2,97.7,97.9,
"% OBC Teachers",-,0.8,0.6,0.6,0.7,0.7,0.7,0.6,0.3,0.3,
"% Teachers Recieved in-Service Training",27.4,36.0,42.1,38.6,38.4,45.2,26.0,20.0,23.7,13.0,
"% Contract Teachers to Total Teachers",9.7,24.7,27.9,26.3,26.8,35.5,-,-,62.3,61.5,
