indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,310688,269858.0,286235,278190.0,287726.0,288540.0,291156.0,285298,241103.0,238080.0
Enrolment: Classes VI-VIII,111191,117179.0,123256,123221.0,123657.0,125865.0,126635.0,126397,113207.0,111616.0
"Enrolment: Classes I-V, Government",-,128654.0,136561,132345.0,142791.0,142891.0,145978.0,144420,121199.0,118916.0
"Enrolment:Cla2s1s.7es VI-VIII,Government",-,41034.0,44340,46438.0,48675.0,49236.0,53004.0,53451,48322.0,47680.0
"Enrolment: Class3e7s. 6I-V, Private",-,141204.0,149674,145845.0,144935.0,144214.0,145178.0,140878,119904.0,119164.0
"Enrolment: Classes VI-VIII, Private",-,76145.0,78916,76783.0,74982.0,74722.0,73631.0,72816,64885.0,63936.0
% Girls Enrolm2e6n.5t: Primary Level,49.0,49.0,49.0,48.7,49.1,49.2,49.1,49.1,48.8,48.8
% Girls Enrolme3n1t.:1 U.Primary Level,49.5,48.7,48.8,49.1,49.4,49.5,49.6,49.6,49.4,49.5
Ratio of Girls Enr.to Boys: Primary,0.96,0.96,0.96,0.95,0.96,0.97,0.97,0.96,0.95,0.95
Ratio of Girls Enr.to Boys: U.Primary,0.98,0.95,0.95,0.96,0.98,0.98,0.99,0.98,0.98,0.98
% SC Enrolment: Classes I-VIII,1.9,0.0,0.1,0.0,0.0,0.1,2.3,0.7,0.1,2.3
% ST Enrolment3: 1C.7lasses  I-VIII,94.7,93.8,95.4,91.5,91.6,92.1,92.4,90.1,88.2,87.5
% OBC Enrolment: Primary Level,0.6,0.0,0.0,0.2,0.2,0.4,0.2,0.3,0.4,1.5
% OBC Enrolment:U.Primary Level,0.6,0.0,0.0,0.2,0.2,0.4,0.1,0.2,0.4,1.5
% Muslim Enrolm32e.n6t: Primary Level,-,0.0,0.0,0.0,0.6,0.9,0.9,2.2,3.1,4.4
% Muslim Enro2lm9.e2nt: U. Primary Level,-,0.1,0.0,0.0,0.4,0.7,0.5,1.3,1.7,2.3
Ratio of Grade V to I,56,66.0,70,70.0,70.0,74.0,79.0,86,87.0,84.0
Avg. Repetition Rate: Primary Level,5.7,3.0,3.4,2.1,5.2,3.3,2.8,0.0,1.3,0.8
Avg.Repetition Rate: U.Primary Level,-,2.8,3.6,2.6,4.7,4.7,3.1,0.0,1.1,0.6
Avg. Drop-out R3a1te.4: Primary Level,8.9,24.3,2.8,11.4,5.2,6.0,51.54,.17.1,19.4,5.6
Retention Rate: Primary Level,-,63.4,54.6,49.7,48.7,64.2,75.7,79.2,67.6,66.3
Transition Rate: Primary to U.Primary,-,82.0,-,93.8,93.0,90.2,91.1,88.0,78.7,87.3
