"School Indicators7.1",2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts 5C.5overed,8,8,11,11,11,11,11,11,11,11
"Total Schools11.9",2514,2523,2575,2707,2826,3370,3359,3320,2963,2799
Total Government Schools,-,1854,1886,2005,2101,2671,2624,2603,2259,2092
Total Private Schools,-,668,689,702,725,699,735,717,704,707
Ratio of Primary to U.PrimarySch1./2S.2ec.,2.4,2.3,2.2,2.2,2.1,1.7,1.7,1.7,1.7,1.7
Primary Sch./Sec.per 1000 Child Popln.,9,10,7,12,13,13,13,11,11,11
U.Prim. Sch./Sec.per 1000 Child Popln.,6,7,11,7,8,11,11,12,13,14
"% Single-Teacher Schools with Enr.≥15",2.3,1.9,2.0,3.2,2.1,1.5,1.5,1.5,1.3,0.9
"% Enrolment in Single-Teacher Schools",0.5,0.7,0.5,1.1,0.8,0.6,0.7,0.7,0.5,0.3
"% Schools with Enro6lm.3ent ≤ 50",25.1,24.6,22.1,26.2,26.9,36.5,34.5,35.1,36.8,33.7
"% Schools with Fem5.a2le Teachers",81.9,84.3,85.2,84.9,83.8,87.3,89.9,100.0,92.6,93.8
