Facility Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,25,22,22,21,20,20,21,20,18,18
"% Schools with Drinking Water",51.5,72.1,75.2,84.0,75.1,6240.16,1471.1,72.3,78.1,82.0
"% Schools with Common Toilet",48.3,77.2,79.9,86.5,-,-,-,-,-,-
"% Schools with Boys' Toilet",-,-,-,12.4,42.8,71.8,91.0x,97.2x,99.6x,98.7
"% Schools with Girls' Toilet",21.3,37.0,57.4,90.5,69.4,6200.10,15 93.0x,88.8x,94.8x,99.9
"% Schools with Boundarywall",71.8,75.2,76.5,76.1,75.3,63.3,64.7,64.7,70.3,68.6
"% School with Playground Facility",-,-,-,48.7,47.3,4200.15,1639.3,39.6,40.7,45.1
"% Schools with Ramp",3.8,6.4,8.1,7.8,26.7,8.2,78.9**,76.2**,71.6**,82.5**
"% Schools havining Electricity",-,-,33.4,34.0,35.0,30.1,34.2,35.3,40.4,51.2
"% Schools with Computer",13.9,19.7,23.6,27.6,33.1,29.4,31.1,35.1,35.6,39.7
"% Schools Providing Mid-day Meal*",-,-,-,80.0,90.6,74.1,80.6,83.7,88.5,90.3
