Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),19376,20367,21237,21174,20367,21883,24825,28506,29050,30320
"% Teachers: Government",-,63.6,62.9,60.3,58.5,58.2,62.0,65.0,64.3,63.4
"% Teachers: Private Aided",-,0.0,0.0,0.2,-,-,-,-,-,-
"% Teachers: Private Unaided",-,36.4,37.1,39.6,40.5,40.5,38.0,35.1,35.7,36.6
Pupil-Teacher Ratio: Elementary,22,19,19,19,20,19,17,14,12,12
"% Female Teachers",40.9,42.6,43.8,44.7,44.2,45.7,47.8,49.1,49.6,50.7
"% SC Teachers",-,4.2,3.3,3.4,3.1,3.1,2.7,2.3,2.1,2.0
"% ST Teachers",-,83.7,83.7,82.6,82.8,83.4,84.8,87.0,87.6,87.9
"% OBC Teachers",-,1.9,2.0,2.3,2.8,2.6,2.4,2.0,1.9,2.0
"% Teachers Recieved in-Service Training",37.8,12.5,13.3,6.1,14.9,6.0,6.3,1.4,0.7,1.1
