indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,4616412,4391968,4467390.0,4366931.0,4467851,4433052.0,4336961,4277710.0,4223628,4111050
Enrolment: Classes VI-VIII,1225781,1948894,208109.0,1622581.0,2088574,2087078.0,2085454,2110347.0,2162855,2217034
"Enrolment: Classes I-V, Government",-,4169999,4200778.0,4081971.0,4014347,3909652.0,3815009,3695440.0,3565758,3359620
"Enrolment:Classes VI-VIII,7G8.o2vernment",-,1629476,1722114.0,1414337.0,1639650,1627481.0,1643953,1662259.0,1677265,1694091
"Enrolment: Classes I5-V4.,1 Private",-,221969,266612.0,284960.0,311200,344142.0,366705,402355.0,476640,553462
"Enrolment: Classes VI-VIII, Private",-,319418,358981.0,208244.0,406330,394929.0,394753,396360.0,438284,470241
% Girls Enrolment: Primary L8e9v.1el,48.2,48.8,48.9,48.8,48.6,48.5,48.3,48.3,48.3,48.3
% Girls Enrolment: U.5P6r.i2mary Level,46.2,47.6,48.1,48.5,48.6,48.8,48.9,48.8,48.6,48.3
Ratio of Girls Enr.to Boys: Primary,0.93,0.95,0.96,0.95,0.95,0.94,0.93,0.93,0.93,0.94
Ratio of Girls Enr.to Boys: U.Primary,0.86,0.91,0.93,0.94,0.95,0.95,0.96,0.95,0.94,0.94
% SC Enrolment: Classes I-VIII,20.0,20.0,19.8,19.6,19.5,19.1,19.7,19.2,19.1,18.9
% ST Enrolment: Classes  I-8V4I.I0I,24.5,25.4,26.6,28.0,27.0,28.2,30.2,29.9,30.2,30.2
% OBC Enrolment: Primary Level,34.8,34.2,33.6,33.0,35.1,33.9,34.6,34.8,34.8,34.7
% OBC Enrolment:U.Primary Level,38.8,37.2,39.4,37.3,42.0,41.3,41.9,41.3,41.3,40.2
% Muslim Enrolment: Prim7a6r.y8 Level,-,1.7,1.7,1.7,1.6,1.5,1.9,1.7,1.8,1.7
% Muslim Enrolment: U6. 7P.7rimary Level,-,1.6,1.6,1.8,1.7,1.6,1.9,1.8,1.8,1.7
Ratio of Grade V to I,82,89,83.0,86.0,82,87.0,90,97.0,-,-
Avg. Repetition Rate: Primary Level,6.3,9.5,5.8,4.7,4.8,2.9,3.0,2.6,0.7,0.1
Avg.Repetition Rate: U.Primary Level,-,6.6,5.1,3.4,3.6,1.4,1.9,1.9,0.4,0.0
Avg. Drop-out Rate: Primary8 4L.e0vel,7.0,-,3.5,6.3,6.1,5.4,1205..02,3.6,2.9,2.9
Retention Rate: Primary Level,-,77.4,80.7,77.5,-,83.7,80.0,84.8,86.1,88.6
Transition Rate: Primary to U.Primary,-,-,93.8,83.2,84.8,86.5,86.9,88.8,91.1,91.3
