indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),169232,222375,246217.0,182026.0,249563.0,265037.0,272173.0,284797.0,299981.0,314988.0
% Teachers: Government,-,-,83.2,90.1,76.6,77.1,75.8,75.6,73.3,71.9
% Teachers: Private Aided,-,6.0,6.8,2.4,9.3,8.8,8.9,8.4,8.3,8.3
% Teachers: Private Unaided,-,9.6,10.0,7.5,9.4,9.3,10.5,11.1,12.6,13.9
Pupil-Teacher Ratio: Elementary,35,29,27.0,33.0,26.0,25.0,24.0,22.0,21.0,20.0
% Female Teachers,34.1,33.2,34.1,38.3,36.4,38.5,40.3,41.0,42.3,43.2
% SC Teachers,-,12.0,12.0,14.4,12.1,12.5,12.6,12.8,12.8,12.8
% ST Teachers,-,11.6,12.4,14.9,12.1,12.2,12.5,13.1,13.6,13.5
% OBC Teachers,-,36.6,37.9,35.5,38.1,38.5,38.3,39.1,39.4,39.5
% Teachers Recieved in-Service Training,43.1,45.5,39.5,53.6,30.9,28.1,33.6,19.6,20.7,19.7
Enrolment: Classes I-V,4616412,4391968,4467390.0,4366931.0,4467851,4433052.0,4336961,4277710.0,4223628,4111050
Enrolment: Classes VI-VIII,1225781,1948894,208109.0,1622581.0,2088574,2087078.0,2085454,2110347.0,2162855,2217034
"Enrolment: Classes I-V, Government",-,4169999,4200778.0,4081971.0,4014347,3909652.0,3815009,3695440.0,3565758,3359620
"Enrolment:Classes VI-VIII,7G8.o2vernment",-,1629476,1722114.0,1414337.0,1639650,1627481.0,1643953,1662259.0,1677265,1694091
"Enrolment: Classes I5-V4.,1 Private",-,221969,266612.0,284960.0,311200,344142.0,366705,402355.0,476640,553462
"Enrolment: Classes VI-VIII, Private",-,319418,358981.0,208244.0,406330,394929.0,394753,396360.0,438284,470241
% Girls Enrolment: Primary L8e9v.1el,48.2,48.8,48.9,48.8,48.6,48.5,48.3,48.3,48.3,48.3
% Girls Enrolment: U.5P6r.i2mary Level,46.2,47.6,48.1,48.5,48.6,48.8,48.9,48.8,48.6,48.3
Ratio of Girls Enr.to Boys: Primary,0.93,0.95,0.96,0.95,0.95,0.94,0.93,0.93,0.93,0.94
Ratio of Girls Enr.to Boys: U.Primary,0.86,0.91,0.93,0.94,0.95,0.95,0.96,0.95,0.94,0.94
% SC Enrolment: Classes I-VIII,20.0,20.0,19.8,19.6,19.5,19.1,19.7,19.2,19.1,18.9
% ST Enrolment: Classes  I-8V4I.I0I,24.5,25.4,26.6,28.0,27.0,28.2,30.2,29.9,30.2,30.2
% OBC Enrolment: Primary Level,34.8,34.2,33.6,33.0,35.1,33.9,34.6,34.8,34.8,34.7
% OBC Enrolment:U.Primary Level,38.8,37.2,39.4,37.3,42.0,41.3,41.9,41.3,41.3,40.2
% Muslim Enrolment: Prim7a6r.y8 Level,-,1.7,1.7,1.7,1.6,1.5,1.9,1.7,1.8,1.7
% Muslim Enrolment: U6. 7P.7rimary Level,-,1.6,1.6,1.8,1.7,1.6,1.9,1.8,1.8,1.7
Ratio of Grade V to I,82,89,83.0,86.0,82,87.0,90,97.0,-,-
Avg. Repetition Rate: Primary Level,6.3,9.5,5.8,4.7,4.8,2.9,3.0,2.6,0.7,0.1
Avg.Repetition Rate: U.Primary Level,-,6.6,5.1,3.4,3.6,1.4,1.9,1.9,0.4,0.0
Avg. Drop-out Rate: Primary8 4L.e0vel,7.0,-,3.5,6.3,6.1,5.4,1205..02,3.6,2.9,2.9
Retention Rate: Primary Level,-,77.4,80.7,77.5,-,83.7,80.0,84.8,86.1,88.6
Transition Rate: Primary to U.Primary,-,-,93.8,83.2,84.8,86.5,86.9,88.8,91.1,91.3
Student-Classroom Ratio,35,30,30,30.0,27,27,27,27,26,25
% Schools with Drinking Water,82.8,85.6,83.3,89.1,88.7,9240.14,1494.8,96.8,98.0,99.5
% Schools with Common Toilet,32.5,50.9,57.2,80.8,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,14.7,17.5,76.7,21.1x,95.3x,95.3x,93.8
% Schools with Girls' Toilet,12.4,28.0,34.0,37.9,38.2,4210.11,15 68.5x,68.9x,76.8x,97.1
% Schools with Boundarywall,65.3,59.6,59.1,57.6,58.8,62.4,64.9,65.8,67.5,68.2
% School with Playground Facility,-,-,-,23.7,29.3,2290.17,1629.7,29.7,29.6,30.3
% Schools with Ramp,8.1,17.9,23.6,36.2,38.1,46.2,82.3**,84.0**,77.4**,85.9**
% Schools havining Electricity,-,-,18.6,15.8,20.4,21.8,23.9,26.0,29.6,32.1
% Schools with Computer,11.4,8.0,7.5,7.3,8.5,9.0,9.2,10.6,13.6,14.4
Number of District3s. 5Covered,30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Total Schools,,,,,,,,,,
4.5,51881,59435.0,62162.0,56773.0,65730.0,66689.0,67271.0,67565.0,68305.0,68978.0
Total Government Schools,-,53667.0,55713.0,53041.0,57179.0,58023.0,58355.0,58412.0,58573.0,58476.0
Total Private Schools,-,5768.0,6447.0,3732.0,7060.0,7202.0,7418.0,7611.0,7995.0,8537.0
Ratio of Primary to U4.P.5rimarySch./Sec.,2.7,2.5,1.9,2.4,1.9,1.9,1.9,1.8,1.8,1.8
Primary Sch./Sec.per 1000 Child Popln.,12,13.0,11.0,14.0,15.0,15.0,15.0,14.0,14.0,15.0
U.Prim. Sch./Sec.per 1000 Child Popln.,7,8.0,14.0,9.0,13.0,13.0,13.0,13.0,13.0,14.0
% Single-Teacher Schools with Enr.≥15,10.8,10.6,6.9,11.5,12.0,7.3,6.9,5.1,5.2,2.9
% Enrolment in Single-Teacher Schools,5.4,5.4,3.3,5.6,5.9,4.0,3.4,2.8,2.6,1.4
% Schools with En3.r5olment ≤ 50,25.5,29.4,31.0,32.0,34.0,36.5,33.3,40.1,41.1,42.9
% Schools with Fe3m.4ale Teachers,60.7,63.9,63.7,66.7,67.6,67.9,68.9,69.9,69.7,70.1
