School Indicator3s.6,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Number of District3s. 5Covered,30,30,30,30,30,30,30,30,30,30,
"Total Schools4.5",51881,59435,62162,56773,65730,66689,67271,67565,68305,68978,
Total Government Schools,-,53667,55713,53041,57179,58023,58355,58412,58573,58476,
Total Private Schools,-,5768,6447,3732,7060,7202,7418,7611,7995,8537,
Ratio of Primary to U4.P.5rimarySch./Sec.,2.7,2.5,1.9,2.4,1.9,1.9,1.9,1.8,1.8,1.8,
Primary Sch./Sec.per 1000 Child Popln.,12,13,11,14,15,15,15,14,14,15,
U.Prim. Sch./Sec.per 1000 Child Popln.,7,8,14,9,13,13,13,13,13,14,
"% Single-Teacher Schools with Enr.≥15",10.8,10.6,6.9,11.5,12.0,7.3,6.9,5.1,5.2,2.9,
"% Enrolment in Single-Teacher Schools",5.4,5.4,3.3,5.6,5.9,4.0,3.4,2.8,2.6,1.4,
"% Schools with En3.r5olment ≤ 50",25.5,29.4,31.0,32.0,34.0,36.5,33.3,40.1,41.1,42.9,
"% Schools with Fe3m.4ale Teachers",60.7,63.9,63.7,66.7,67.6,67.9,68.9,69.9,69.7,70.1,
