indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,90479,107888,112684,112795,110466,109803,108502,106697,105443,104032
Enrolment: Classes VI-VIII,50520,66618,69811,71199,72161,71189,69805,67425,66123,65430
"Enrolment: Classes I-V, Government",-,48569,44641,40889,36522,31662,29922,27462,25951,25633
"Enrolment:Classes VI-VIII,Gov9e7r.n6ment",-,39654,37735,36693,35481,31581,29833,26846,24548,22962
"Enrolment: Classes I-V, Priva9t1e.5",-,59319,68043,71906,73944,76638,78580,79235,79492,78399
"Enrolment: Classes VI-VIII, Private",-,26964,32076,34506,36680,38314,39972,40579,41575,42468
% Girls Enrolment: Primary Le9v7e.l7,51.6,49.6,48.5,48.5,48.6,48.5,48.7,48.7,48.7,48.7
% Girls Enrolment: U.Primary9 L1.e9vel,51.2,49.0,48.0,47.9,48.1,48.6,48.9,48.5,48.3,48.5
Ratio of Girls Enr.to Boys: Primary,1.07,0.98,0.94,0.94,0.95,0.94,0.95,0.95,0.95,0.95
Ratio of Girls Enr.to Boys: U.Primary,1.05,0.96,0.92,0.92,0.93,0.95,0.96,0.94,0.93,0.94
% SC Enrolment: Classes I-VIII,18.3,19.0,18.9,18.6,19.3,19.0,18.4,19.4,19.0,18.9
% ST Enrolment: Classes  I-VI9II8.8,0.1,0.7,0.2,0.4,0.2,0.3,0.2,0.0,0.0,0.0
% OBC Enrolment: Primary Level,59.5,74.0,72.7,66.4,69.6,71.3,69.8,74.7,71.9,73.9
% OBC Enrolment:U.Primary Level,66.7,73.8,72.7,66.5,70.2,70.2,70.1,73.9,72.0,73.8
% Muslim Enrolment: Primary L9e8v.6el,-,6.8,6.4,7.2,7.5,7.6,1.4,7.5,7.5,7.4
% Muslim Enrolment: U. Prima9r6y. 7Level,-,5.9,6.2,6.7,6.9,6.4,1.6,7.1,7.0,7.1
Ratio of Grade V to I,97,99,99,-,-,-,-,-,-,98
Avg. Repetition Rate: Primary Level,0.0,0.5,0.4,0.4,0.1,0.0,1.6,0.0,0.3,0.0
Avg.Repetition Rate: U.Primary Level,-,17.0,3.7,5.3,0.1,0.0,1.2,0.0,0.0,0.0
Avg. Drop-out Rate: Primary L9e9v.e9l,-,2.4,-,-,0.4,-,102.10.2,0.3,0.7,0.4
Retention Rate: Primary Level,-,-,-,-,98.4,-,97.7,98.5,97.6,96.5
Transition Rate: Primary to U.Primary,-,-,-,-,-,-,99.8,-,100.0,-
