indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,26,22,21,21.0,23,25,27,27,27,26
% Schools with Drinking Water,96.3,98.3,99.7,100.0,100.0,10200.10,1499.9,100.0,99.7,100.0
% Schools with Common Toilet,56.8,70.0,99.3,45.1,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,83.0,86.9,98.5,92.4x,100.0x,100.0x,100.0
% Schools with Girls' Toilet,80.0,86.2,88.6,89.2,90.6,9270.18,15 99.9x,100.0x,99.9x,100.0
% Schools with Boundarywall,87.7,85.5,84.3,85.7,87.3,90.4,94.1,94.1,95.2,95.7
% School with Playground Facility,-,-,-,64.6,64.2,6260.12,1666.6,67.8,70.4,72.5
% Schools with Ramp,24.2,39.0,39.3,52.3,51.2,51.3,79.6**,95.8**,73.7**,80.3**
% Schools havining Electricity,-,-,100.0,99.9,99.9,99.9,100.0,100.0,100.0,100.0
% Schools with Computer,14.9,63.0,71.0,79.9,90.7,94.6,97.7,97.6,97.8,98.8
