"School Indicators11.0",2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts 8C.1overed,4,4,4,4,4,4,4,4,4,4
"Total Schools15.9",616,703,692,692,709,707,709,717,722,719
Total Government Schools,-,441,435,434,440,435,433,433,428,421
Total Private Schools,-,260,257,258,269,272,276,284,294,298
Ratio of Primary to U.PrimaryS14c.h9./Sec.,1.7,1.7,1.5,1.6,1.5,1.5,1.5,1.5,1.4,1.4
Primary Sch./Sec.per 1000 Child Popln.,5,6,6,6,6,6,6,5,5,5
U.Prim. Sch./Sec.per 1000 Child Popln.,4,6,5,6,6,6,6,6,6,6
"% Single-Teacher Schools with Enr.≥15",1.0,1.6,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0
"% Enrolment in Single-Teacher Schools",0.3,0.2,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0
"% Schools with Enro8lm.9ent ≤ 50",23.4,19.4,15.6,16.0,17.4,17.1,17.4,20.8,21.3,21.4
