indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),72704,79754.0,103383.0,104049.0,204967.0,207718.0,226570.0,236186.0,242375.0,250470.0
% Teachers: Government,-,86.7,78.9,75.7,50.5,52.0,52.9,57.2,52.2,51.1
% Teachers: Private Aided,-,4.0,3.8,3.0,2.6,2.4,2.3,2.2,2.1,2.2
% Teachers: Private Unaided,-,9.3,17.3,21.3,17.9,20.9,23.2,39.9,43.2,40.3
Pupil-Teacher Ratio: Elementary,33,32.0,27.0,28.0,19.0,19.0,18.0,17.0,17.0,16.0
% Female Teachers,61.8,60.9,64.5,65.0,70.7,71.1,71.9,72.5,73.0,73.9
% SC Teachers,-,19.9,18.4,19.4,16.4,16.6,16.3,16.0,15.8,15.6
% ST Teachers,-,0.8,0.7,0.4,0.5,0.4,0.2,0.2,0.1,0.1
% OBC Teachers,-,11.5,11.6,12.1,11.5,11.5,11.1,10.8,10.8,10.8
% Teachers Recieved in-Service Training,55.3,55.6,49.6,57.9,31.8,26.6,18.1,16.1,20.7,18.2
Enrolment: Classes I-V,1545398,1581310,1765341,1850638.0,2563140,2587691,2604751,2575880,2568056,2488583.0
Enrolment: Classes VI-VIII,854667,977648,1061737,1057686.0,1401287,1401372,1438875,1435640,1453523,1473856.0
"Enrolment: Classes I-V, Government",-,1314778,1339311,1308452.0,1371659,1360923,1340880,1435065,1297097,1237170.0
"Enrolment:Classes VI-VIII,Go9v2e.0rnment",-,805130,801736,738486.0,796997,789971,814222,858356,812677,835154.0
"Enrolment: Classes I-V,6 P6.r7ivate",-,266532,426030,542186.0,569044,651024,707796,1127453,1202219,1090208.0
"Enrolment: Classes VI-VIII, Private",-,172518,260001,319200.0,349143,375176,386660,574040,611215,561302.0
% Girls Enrolment: Primary Le1v0e0l.0,46.3,46.0,45.5,45.3,44.4,44.6,44.9,45.2,45.3,45.4
% Girls Enrolment: U.Primary 1L0e0v.0el,46.7,46.3,45.7,45.2,43.7,43.9,43.9,44.0,44.3,44.6
Ratio of Girls Enr.to Boys: Primary,0.86,0.85,0.83,0.83,0.80,0.81,0.82,0.82,0.83,0.83
Ratio of Girls Enr.to Boys: U.Primary,0.88,0.86,0.84,0.82,0.78,0.78,0.78,0.79,0.79,0.81
% SC Enrolment: Classes I-VIII,47.3,49.2,47.7,45.8,37.9,38.2,41.3,37.6,37.4,37.9
% ST Enrolment: Classes  I-V9II1I.7,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
% OBC Enrolment: Primary Level,16.4,16.0,13.2,12.9,12.9,13.1,13.3,13.4,13.8,14.4
% OBC Enrolment:U.Primary Level,18.3,17.6,15.1,15.0,14.1,14.1,14.2,14.2,14.5,15.1
