School Indicators6.0,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Number of Distri4c.t2s Covered,17,20,20,20,20,22,22,22,22,22,
"Total Schools13.4",20298,,21875,23272,30858,30181,29833,29198,29023,28776,
Total Government Schools,-,18508,19326,19967,20235,20368,20214,21343,20741,20488,
Total Private Schools,-,1518,2549,3303,3204,3594,4370,7603,7769,7163,
Ratio of Primary to U.PrimarySch./S14e.c0.,2.3,2.2,2.0,1.9,1.6,1.6,1.6,1.6,1.6,1.6,
Primary Sch./Sec.per 1000 Child Popln.,7,6,5,7,11,10,10,9,9,9,
U.Prim. Sch./Sec.per 1000 Child Popln.,4,4,7,6,11,10,10,10,10,10,
"% Single-Teacher Schools with Enr.≥15",15.0,7.6,5.1,2.1,3.6,5.5,3.3,3.5,3.8,4.6,
"% Enrolment in Single-Teacher Schools",8.1,4.5,2.4,1.0,1.7,2.5,1.1,1.3,1.3,1.5,
"% Schools with Enr6o.l2ment ≤ 50",25.3,21.7,24.1,27.9,27.7,27.2,26.2,27.3,27.9,29.9,
"% Schools with F4e.5male Teachers",89.7,90.0,91.9,90.5,92.8,93.4,94.7,100.0,94.2,94.3,
