Enrolment Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,1545398,1581310,1765341,1850638,2563140,2587691,2604751,2575880,2568056,2488583
Enrolment: Classes VI-VIII,854667,977648,1061737,1057686,1401287,1401372,1438875,1435640,1453523,1473856
"Enrolment: Classes I-V, Government",-,1314778,1339311,1308452,1371659,1360923,1340880,1435065,1297097,1237170
"Enrolment:Classes VI-VIII,Go9v2e.0rnment",-,805130,801736,738486,796997,789971,814222,858356,812677,835154
"Enrolment: Classes I-V,6 P6.r7ivate",-,266532,426030,542186,569044,651024,707796,1127453,1202219,1090208
"Enrolment: Classes VI-VIII, Private",-,172518,260001,319200,349143,375176,386660,574040,611215,561302
"% Girls Enrolment: Primary Le1v0e0l.0",46.3,46.0,45.5,45.3,44.4,44.6,44.9,45.2,45.3,45.4
"% Girls Enrolment: U.Primary 1L0e0v.0el",46.7,46.3,45.7,45.2,43.7,43.9,43.9,44.0,44.3,44.6
Ratio of Girls Enr.to Boys: Primary,0.86,0.85,0.83,0.83,0.80,0.81,0.82,0.82,0.83,0.83
Ratio of Girls Enr.to Boys: U.Primary,0.88,0.86,0.84,0.82,0.78,0.78,0.78,0.79,0.79,0.81
"% SC Enrolment: Classes I-VIII",47.3,49.2,47.7,45.8,37.9,38.2,41.3,37.6,37.4,37.9
"% ST Enrolment: Classes  I-V9II1I.7",0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"% OBC Enrolment: Primary Level",16.4,16.0,13.2,12.9,12.9,13.1,13.3,13.4,13.8,14.4
"% OBC Enrolment:U.Primary Level",18.3,17.6,15.1,15.0,14.1,14.1,14.2,14.2,14.5,15.1
"% Muslim Enrolment: Primar8y8 L.5evel",-,0.5,1.0,1.6,1.4,1.6,1.7,2.1,2.3,2.5
"% Muslim Enrolment: U. P7r8im.1ary Level",-,0.2,0.9,1.3,1.2,1.2,1.3,1.6,1.7,1.9
Ratio of Grade V to I,94,99,93,92,80,88,93,-,-,98
Avg. Repetition Rate: Primary Level,8.2,8.0,7.7,8.7,4.3,0.6,0.1,0.5,0.1,0.1
Avg.Repetition Rate: U.Primary Level,-,4.2,15.0,7.5,6.7,0.4,0.1,0.4,0.1,0.1
Avg. Drop-out Rate: Primary L9e2v.6el,8.9,5.5,2.9,4.7,1.8,716.8.,1.6,2.0,1.3,3.1
Retention Rate: Primary Level,-,-,80.4,97.0,-,-,-,-,90.2,90.8
Transition Rate: Primary to U.Primary,-,84.0,-,93.8,-,98.4,99.3,97.6,97.1,95.3
