Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),72704,79754,103383,104049,204967,207718,226570,236186,242375,250470
"% Teachers: Government",-,86.7,78.9,75.7,50.5,52.0,52.9,57.2,52.2,51.1
"% Teachers: Private Aided",-,4.0,3.8,3.0,2.6,2.4,2.3,2.2,2.1,2.2
"% Teachers: Private Unaided",-,9.3,17.3,21.3,17.9,20.9,23.2,39.9,43.2,40.3
Pupil-Teacher Ratio: Elementary,33,32,27,28,19,19,18,17,17,16
"% Female Teachers",61.8,60.9,64.5,65.0,70.7,71.1,71.9,72.5,73.0,73.9
"% SC Teachers",-,19.9,18.4,19.4,16.4,16.6,16.3,16.0,15.8,15.6
"% ST Teachers",-,0.8,0.7,0.4,0.5,0.4,0.2,0.2,0.1,0.1
"% OBC Teachers",-,11.5,11.6,12.1,11.5,11.5,11.1,10.8,10.8,10.8
"% Teachers Recieved in-Service Training",55.3,55.6,49.6,57.9,31.8,26.6,18.1,16.1,20.7,18.2
