"School Indicators5.0",2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Number of Districts 4C.0overed,32,32,33,33,33,33,33,33,33,33,
"Total Schools8.1",94319,103303,105085,105773,105190,109189,112984,119574,106254,107931,
Total Government Schools,-,77319,81058,79603,77531,77832,78870,83564,69947,70664,
Total Private Schools,-,22727,24027,24767,26216,29766,31948,33658,33889,34872,
Ratio of Primary to U.PrimarySc8h.0./Sec.,2.6,2.1,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,
Primary Sch./Sec.per 1000 Child Popln.,9,13,12,13,14,14,14,13,13,13,
U.Prim. Sch./Sec.per 1000 Child Popln.,8,10,13,12,12,13,13,14,14,15,
"% Single-Teacher Schools with Enr.≥15",31.5,21.3,15.7,16.3,14.7,14.2,12.9,10.1,11.7,10.2,
"% Enrolment in Single-Teacher Schools",14.5,10.3,7.3,7.6,6.8,6.6,5.8,4.5,4.4,3.7,
"% Schools with Enrolm4.8ent ≤ 50",21.2,24.9,25.8,27.3,27.8,28.6,29.5,34.2,32.6,33.1,
"% Schools with Fe3m.6ale Teachers",67.0,65.9,63.8,64.5,64.0,64.9,67.6,67.0,67.0,68.4,
