Facility Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,20112-0112,210312-13,2013-14,2014-15,2015-16,
Student-Classroom Ratio,29,26,25,24,23,23,23,21,20,21,
"% Schools with Drinking Water",77.1,87.7,92.0,96.4,94.7,9250.11,1494.9,96.3,97.1,96.8,
"% Schools with Common Toilet",53.0,36.1,48.7,56.0,-,-,-,-,-,-,
"% Schools with Boys' Toilet",-,-,-,1.9,68.4,77.2,77.6x,98.1x,98.2x,99.2,
"% Schools with Girls' Toilet",34.6,79.3,83.0,89.4,92.1,9250.15,15 97.8x,96.1x,97.1x,99.7,
"% Schools with Boundarywall",59.4,63.6,64.3,72.0,76.3,79.7,79.9,82.5,85.0,84.8,
"% School with Playground Facility",-,-,-,49.7,46.6,4260.13,1648.4,48.9,51.8,52.3,
"% Schools with Ramp",12.6,27.2,39.0,51.1,55.2,56.9,57.9**,65.2**,60.6**,63.3**,
"% Schools havining Electricity",-,-,29.0,33.7,39.4,44.5,48.2,50.1,55.1,56.5,
"% Schools with Computer",9.6,14.9,2.7,15.0,21.7,18.0,22.5,23.1,28.4,29.9,
"% Schools Providing Mid-day Meal*",-,-,-,96.6,82.5,75.4,97.9,97.7,97.5,97.6,
