Enrolment Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,8746946,8757869,8699915,8627768,8432836,8657160,8655936,8394087,8140866,8273609
Enrolment: Classes VI-VIII,2930530,3438766,3562816,3547361,3570991,3740012,3885582,3896165,3885336,4066526
"Enrolment: Classes I-V, Government",-,5883699,5765423,5394005,5098382,5019135,4742214,4367200,3978935,4119524
"Enrolment:Classes VI-VIII,G82o.v6ernment",-,2065599,2089718,1955821,2005797,2081188,2076370,2043464,1961583,2146551
"Enrolment: Classes I-V, Pri8v2a.t7e",-,2685583,2934492,3150274,3222236,3488324,3748246,3859330,3993216,3991698
"Enrolment: Classes VI-VIII, Private",-,1331552,1473098,1548443,1556324,1623845,1792838,1832608,1905368,1899925
"% Girls Enrolment: Primary 8L6e.0vel",46.8,46.7,46.4,46.6,46.8,47.0,46.9,46.6,46.3,46.5
"% Girls Enrolment: U.Prim7a9ry.1 Level",38.2,40.8,41.8,42.7,43.7,44.7,44.8,44.7,44.7,45.3
Ratio of Girls Enr.to Boys: Primary,0.88,0.87,0.87,0.87,0.88,0.89,0.88,0.87,0.86,0.87
Ratio of Girls Enr.to Boys: U.Primary,0.62,0.69,0.72,0.74,0.78,0.81,0.81,0.81,0.81,0.83
"% SC Enrolment: Classes I-VIII",19.5,19.5,19.4,19.3,20.2,20.5,20.4,19.9,19.8,20.1
"% ST Enrolment: Classes  I-V88II.I0",14.8,15.0,15.1,14.9,15.5,15.7,15.8,15.1,15.1,15.3
"% OBC Enrolment: Primary Level",48.5,48.0,47.8,47.2,47.2,47.9,48.2,48.4,48.7,48.2
"% OBC Enrolment:U.Primary Level",51.0,49.9,49.3,48.6,48.6,49.4,49.2,49.3,49.6,49.1
"% Muslim Enrolment: Primary8 9L.6evel",-,5.4,5.1,6.7,7.3,8.4,9.2,9.2,8.5,8.9
"% Muslim Enrolment: U. P7ri9m.9ary Level",-,3.6,3.5,4.4,5.0,5.9,6.8,6.7,6.3,6.7
Ratio of Grade V to I,54,59,61,63,64,74,84,86,86,74
Avg. Repetition Rate: Primary Level,10.8,9.4,7.0,6.7,9.5,4.3,0.6,0.9,1.1,1.1
Avg.Repetition Rate: U.Primary Level,-,8.1,7.7,4.9,7.6,2.4,0.2,0.5,0.6,0.7
Avg. Drop-out Rate: Primary L9e1.v7el,14.9,15.4,11.4,10.5,10.8,7.8,1165.5.5,8.0,8.4,5.0
Retention Rate: Primary Level,-,61.8,60.2,53.7,50.0,60.0,66.8,68.5,72.0,75.0
Transition Rate: Primary to U.Primary,-,77.7,85.3,86.3,82.7,90.4,90.1,88.7,88.2,92.0
