indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts Covered 7.3,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Total Schools7.8,1097,1150.0,1144.0,1180.0,1201.0,1235.0,1279.0,1277.0,1274.0,1279.0
Total Government Schools,-,870.0,855.0,892.0,895.0,902.0,866.0,870.0,868.0,870.0
Total Private Schools,-,278.0,288.0,288.0,306.0,333.0,413.0,407.0,406.0,409.0
Ratio of Primary to U.PrimaryS7c.7h./Sec.,3.3,3.3,3.3,2.9,2.7,2.4,2.4,2.3,2.3,2.2
Primary Sch./Sec.per 1000 Child Popln.,17,20.0,9.0,22.0,24.0,23.0,24.0,21.0,21.0,21.0
U.Prim. Sch./Sec.per 1000 Child Popln.,8,9.0,20.0,11.0,12.0,14.0,14.0,16.0,18.0,19.0
% Single-Teacher Schools with Enr.≥15,0.7,0.4,0.2,0.6,0.8,1.5,0.5,0.2,0.5,0.0
% Enrolment in Single-Teacher Schools,0.2,0.1,0.1,0.2,0.3,0.5,0.2,0.1,0.2,0.0
% Schools with Enrolment ≤7 5.00,42.8,46.3,45.2,45.4,43.6,45.8,48.4,52.3,55.0,56.4
