"School Indicators7.5",2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Number of Districts Covered 7.3,4,4,4,4,4,4,4,4,4,4,
"Total Schools7.8",1097,1150,1144,1180,1201,1235,1279,1277,1274,1279,
Total Government Schools,-,870,855,892,895,902,866,870,868,870,
Total Private Schools,-,278,288,288,306,333,413,407,406,409,
Ratio of Primary to U.PrimaryS7c.7h./Sec.,3.3,3.3,3.3,2.9,2.7,2.4,2.4,2.3,2.3,2.2,
Primary Sch./Sec.per 1000 Child Popln.,17,20,9,22,24,23,24,21,21,21,
U.Prim. Sch./Sec.per 1000 Child Popln.,8,9,20,11,12,14,14,16,18,19,
"% Single-Teacher Schools with Enr.≥15",0.7,0.4,0.2,0.6,0.8,1.5,0.5,0.2,0.5,0.0,
"% Enrolment in Single-Teacher Schools",0.2,0.1,0.1,0.2,0.3,0.5,0.2,0.1,0.2,0.0,
"% Schools with Enrolment ≤7 5.00",42.8,46.3,45.2,45.4,43.6,45.8,48.4,52.3,55.0,56.4,
