Facility Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Student-Classroom Ratio,16,15,15,15,14,14,14,13,12,12,
"% Schools with Drinking Water",76.9,79.8,87.5,96.7,98.2,9260.15,1497.0,97.2,97.2,98.5,
"% Schools with Common Toilet",86.5,88.7,98.7,80.0,-,-,-,-,-,-,
"% Schools with Boys' Toilet",-,-,-,43.4,49.5,95.2,55.2x,100.0x,99.9x,99.8,
"% Schools with Girls' Toilet",34.5,42.3,41.4,74.8,75.4,8210.19,15 97.1x,96.8x,97.4x,99.8,
"% Schools with Boundarywall",25.2,25.7,25.5,26.7,29.3,28.8,32.0,34.9,36.3,35.3,
"% School with Playground Facility",-,-,-,63.0,63.8,6210.19,1664.0,67.2,67.1,68.0,
"% Schools with Ramp",4.5,6.0,6.0,5.5,5.5,5.2,65.0**,73.3**,26.4**,50.0**,
"% Schools havining Electricity",-,-,53.4,57.1,60.0,56.7,61.5,64.7,70.7,84.0,
"% Schools with Computer",18.1,21.9,24.0,35.9,41.0,45.9,50.3,53.3,58.6,60.4,
"% Schools Providing Mid-day Meal*",-,-,-,90.5,92.2,91.1,97.0,97.9,98.3,97.9,
