Enrolment Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,87527,87107,87617,88262,89837,84291,80702,73832,66672,60807
Enrolment: Classes VI-VIII,30232,34131,34523,35840,36705,41327,44628,46269,44136,44490
"Enrolment: Classes I-V, Government",-,72921,69427,69305,71934,64058,57148,50156,43614,36634
"Enrolment:Classe36s. 1VI-VIII,Government",-,30151,29325,30373,30905,33574,36880,38067,36376,36638
"Enrolment: Clas3s2e.s3 I-V, Private",-,14186,18190,18957,17903,19566,23554,23676,23058,24173
"Enrolment: Classes VI-VIII, Private",-,3980,5198,5467,5800,6494,7748,8202,7760,7852
"% Girls Enrolment:4 3P.r9imary Level",49.7,49.5,49.4,48.9,48.5,48.0,47.8,47.7,47.3,47.1
"% Girls Enrolmen3t6: .U6 .Primary Level",53.1,54.1,53.8,54.3,54.3,53.2,52.5,51.1,51.3,51.1
Ratio of Girls Enr.to Boys: Primary,0.99,0.98,0.98,0.96,0.94,0.92,0.92,0.91,0.90,0.89
Ratio of Girls Enr.to Boys: U.Primary,1.13,1.18,1.17,1.19,1.19,1.14,1.11,1.05,1.05,1.05
"% SC Enrolment: Classes I-VIII",7.2,6.8,7.2,6.8,7.3,7.5,7.4,7.7,7.8,7.9
"% ST Enrolment: C4la4s.7ses  I-VIII",36.3,36.1,37.3,35.8,37.2,37.4,36.9,36.0,36.5,36.4
"% OBC Enrolment: Primary Level",41.1,39.5,38.3,40.4,38.8,39.3,39.3,37.9,38.9,39.1
"% OBC Enrolment:U.Primary Level",43.5,41.7,40.7,43.8,40.2,42.9,43.2,42.0,42.2,42.7
"% Muslim Enrolmen4t6: .P4 rimary Level",-,-,0.5,0.6,0.9,1.3,1.4,2.0,1.8,1.9
"% Muslim Enrolm33e.3nt: U. Primary Level",-,-,1.0,0.4,0.6,0.9,0.8,1.5,1.1,1.2
Ratio of Grade V to I,66,80,87,92,78,-,-,-,-,-
Avg. Repetition Rate: Primary Level,21.6,16.9,16.6,11.3,12.6,4.0,0.3,1.0,1.1,0.4
Avg.Repetition Rate: U.Primary Level,-,17.7,14.5,11.1,11.0,3.2,0.1,0.2,0.6,0.1
Avg. Drop-out Rate: P53ri.m8 ary Level,5.7,5.2,3.5,4.5,7.1,4.3,1572..82,3.6,4.6,2.3
Retention Rate: Primary Level,-,63.7,64.8,69.5,78.6,90.4,95.2,92.8,77.1,86.9
Transition Rate: Primary to U.Primary,-,77.5,78.1,83.1,79.1,95.0,96.5,94.9,92.3,93.1
