Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),7908,8396,8313,10073,10493,11477,12356,13028,13625,15077
"% Teachers: Government",-,79.9,77.8,79.0,76.1,74.0,71.6,72.4,71.9,72.4
"% Teachers: Private Aided",-,3.7,4.3,5.2,3.9,3.2,1.1,1.2,1.1,1.0
"% Teachers: Private Unaided",-,16.4,17.9,15.9,18.3,21.5,27.3,26.5,27.0,26.6
Pupil-Teacher Ratio: Elementary,15,14,15,12,12,11,10,9,8,7
"% Female Teachers",43.7,45.1,45.5,48.7,48.9,49.9,51.1,52.1,53.3,54.6
"% SC Teachers",-,4.0,3.8,3.7,3.8,3.5,3.6,3.7,3.7,3.9
"% ST Teachers",-,38.9,37.6,39.4,38.1,38.0,39.4,39.0,39.5,39.9
"% OBC Teachers",-,35.3,35.3,39.2,40.5,41.8,41.8,41.4,42.5,43.2
"% Teachers Recieved in-Service Training",0.8,0.3,0.1,0.9,0.1,2.3,7.0,0.9,2.3,1.6
"% Contract Teachers to Total Teachers",0.4,0.7,0.4,0.7,2.0,9.2,-,-,24.6,29.9
