indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,27,29,28,27.0,27,26,28,27,26,25
% Schools with Drinking Water,96.2,100.0,100.0,99.9,100.0,10200.10,1499.2,100.0,99.8,100.0
% Schools with Common Toilet,55.7,65.6,66.7,47.9,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,58.7,60.3,84.9,62.6x,99.6x,100.0x,99.7
% Schools with Girls' Toilet,55.1,62.3,64.2,69.2,71.7,7250.13,15 95.6x,90.5x,99.1x,99.9
% Schools with Boundarywall,61.9,62.6,62.1,67.0,71.9,74.6,77.1,78.4,79.7,80.2
% School with Playground Facility,-,-,-,80.1,76.7,7270.16,1675.1,76.0,76.4,77.0
% Schools with Ramp,17.8,43.7,45.9,57.1,58.8,62.3,85.0**,85.2**,68.3**,72.8**
% Schools havining Electricity,-,-,81.0,91.3,94.6,96.6,96.5,97.0,98.5,99.1
% Schools with Computer,19.6,24.3,32.1,38.6,47.4,49.6,53.1,54.1,57.3,57.6
