indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts 4C.7overed,30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Total Schools10.3,51574,53307.0,53890.0,54428.0,55175.0,55753.0,56535.0,56785.0,57153.0,57539.0
Total Government Schools,-,35336.0,35436.0,35616.0,36122.0,36575.0,36940.0,37000.0,37902.0,38200.0
Total Private Schools,-,17971.0,18454.0,18812.0,18907.0,18966.0,19402.0,19735.0,19161.0,19163.0
Ratio of Primary to U.PrimarySch1.0/S.3ec.,2.7,2.6,2.5,2.3,2.3,2.3,2.3,2.3,2.2,2.2
Primary Sch./Sec.per 1000 Child Popln.,9,9.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
U.Prim. Sch./Sec.per 1000 Child Popln.,5,6.0,9.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0
% Single-Teacher Schools with Enr.≥15,3.1,2.6,2.0,2.1,2.3,2.8,3.6,1.9,2.1,1.9
% Enrolment in Single-Teacher Schools,1.0,0.8,0.6,0.6,0.6,0.8,0.9,0.5,0.6,0.5
% Schools with Enrolm6e.2nt ≤ 50,24.0,26.8,27.9,28.9,30.0,31.6,31.9,33.5,33.8,31.3
% Schools with Fe4m.2ale Teachers,92.0,93.5,93.9,94.6,95.1,95.2,96.0,96.1,96.1,96.1
