"School Indicators6.6",2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Number of Districts 4C.7overed,30,30,30,30,30,30,30,30,30,30,
"Total Schools10.3",51574,53307,53890,54428,55175,55753,56535,56785,57153,57539,
Total Government Schools,-,35336,35436,35616,36122,36575,36940,37000,37902,38200,
Total Private Schools,-,17971,18454,18812,18907,18966,19402,19735,19161,19163,
Ratio of Primary to U.PrimarySch1.0/S.3ec.,2.7,2.6,2.5,2.3,2.3,2.3,2.3,2.3,2.2,2.2,
Primary Sch./Sec.per 1000 Child Popln.,9,9,6,9,9,9,9,9,9,9,
U.Prim. Sch./Sec.per 1000 Child Popln.,5,6,9,7,7,7,7,6,6,6,
"% Single-Teacher Schools with Enr.≥15",3.1,2.6,2.0,2.1,2.3,2.8,3.6,1.9,2.1,1.9,
"% Enrolment in Single-Teacher Schools",1.0,0.8,0.6,0.6,0.6,0.8,0.9,0.5,0.6,0.5,
"% Schools with Enrolm6e.2nt ≤ 50",24.0,26.8,27.9,28.9,30.0,31.6,31.9,33.5,33.8,31.3,
"% Schools with Fe4m.2ale Teachers",92.0,93.5,93.9,94.6,95.1,95.2,96.0,96.1,96.1,96.1,
