Enrolment Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,6186218,6123687,6148411,6190928,6110219,6040051,6021843,5769685,5753734,5750359
Enrolment: Classes VI-VIII,3568479,3719066,3730210,3733633,3687045,3736201,3656633,3626756,3498733,3485833
"Enrolment: Classes I-V, Government",-,2903299,2711939,2624309,2479317,2410068,2248509,2217124,2473356,2485526
"Enrolment:Classes VI-VIII,Gov94e.r5nment",-,1996596,1898966,1836165,1794209,1816157,1665054,1641048,1686895,1685036
"Enrolment: Classes I-V, Priva88te.9",-,3220388,3436472,3566619,3620171,3612093,3758369,3546525,3273884,3249633
"Enrolment: Classes VI-VIII, Private",-,1722470,1831244,1897468,1892019,1917200,1989329,1983638,1810388,1797996
"% Girls Enrolment: Primary Le9v6e.1l",48.3,48.4,48.5,48.6,48.6,48.6,48.7,48.7,48.7,48.8
"% Girls Enrolment: U.Primar8y7 L.6evel",48.1,48.1,48.0,48.2,48.3,48.4,48.9,48.7,48.7,48.7
Ratio of Girls Enr.to Boys: Primary,0.93,0.94,0.94,0.94,0.95,0.95,0.95,0.95,0.95,0.95
Ratio of Girls Enr.to Boys: U.Primary,0.92,0.93,0.92,0.93,0.94,0.94,0.96,0.95,0.95,0.95
"% SC Enrolment: Classes I-VIII",24.8,24.7,24.5,24.5,24.4,24.3,24.4,24.2,24.3,24.0
"% ST Enrolment: Classes  I-VII9I7.2",1.8,1.9,1.8,1.8,1.7,1.7,1.8,1.7,1.7,1.7
"% OBC Enrolment: Primary Level",68.5,68.9,69.5,68.8,68.8,69.2,69.3,70.0,70.1,70.6
"% OBC Enrolment:U.Primary Level",68.9,69.2,69.5,68.8,68.8,69.1,69.4,70.0,70.3,71.1
"% Muslim Enrolment: Primary 9L7e.v0el",-,4.7,4.5,5.3,5.5,5.8,5.9,6.2,6.0,5.9
"% Muslim Enrolment: U. Prim9a3r.y5 Level",-,4.7,4.5,5.1,5.4,5.5,5.8,5.9,5.7,5.7
Ratio of Grade V to I,97,100,-,-,-,-,-,-,-,-
Avg. Repetition Rate: Primary Level,1.6,0.7,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1
Avg.Repetition Rate: U.Primary Level,-,2.7,2.0,1.3,0.5,0.1,0.2,0.1,0.2,0.2
Avg. Drop-out Rate: Primary Le9v8e.0l,2.0,1.7,0.2,0.2,1.2,1.0,1180..56,4.1,0.5,-
Retention Rate: Primary Level,-,100.0,97.1,-,-,-,-,96.3,97.9,98.6
Transition Rate: Primary to U.Primary,-,97.2,98.6,98.9,96.7,98.6,94.9,95.4,97.8,95.0
