Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),331513,316721,327391,330200,333774,334676,474211,508788,542188,557801
"% Teachers: Government",-,47.1,45.8,45.5,45.2,44.8,44.0,42.9,48.3,48.5
"% Teachers: Private Aided",-,19.5,18.9,17.7,16.8,16.7,17.2,16.2,15.0,14.6
"% Teachers: Private Unaided",-,33.4,35.4,36.8,37.7,38.1,38.5,40.8,36.6,36.7
Pupil-Teacher Ratio: Elementary,29,31,30,30,29,29,20,18,17,17
"% Female Teachers",69.5,73.9,75.0,76.7,77.4,78.1,73.1,73.7,73.6,73.9
"% SC Teachers",-,13.2,13.6,13.7,14.1,14.4,14.7,14.6,15.1,15.1
"% ST Teachers",-,0.7,0.7,0.9,1.0,1.0,0.8,0.9,0.9,0.9
"% OBC Teachers",-,76.7,76.7,76.7,76.4,76.3,76.2,76.3,76.6,77.4
"% Teachers Recieved in-Service Training",45.0,53.8,53.5,54.3,53.6,53.7,36.2,34.8,30.6,32.8
"% Contract Teachers to Total Teachers",1.4,0.7,0.6,0.4,1.9,7.4,-,-,18.3,21.2
