indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,-,-,-,-,-,-,-,-,20,23
% Schools with Drinking Water,-,-,-,-,-,201-,14-,-,93.4,93.8
% Schools with Common Toilet,-,-,-,-,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,-,-,-,-,-,95.3x,100.0
% Schools with Girls' Toilet,-,-,-,-,-,201-,15-,-,73.9x,100.0
% Schools with Boundarywall,-,-,-,-,-,-,-,-,69.0,69.0
% School with Playground Facility,-,-,-,-,-,201-,16-,-,61.2,60.6
% Schools with Ramp,-,-,-,-,-,-,-,-,54.5**,63.1**
% Schools havining Electricity,-,-,-,-,-,-,-,-,90.9,91.5
% Schools with Computer,-,-,-,-,-,-,-,-,37.5,34.7
