School Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Number of Districts Covered,-,-,-,-,-,-,-,-,10,10,
Total Schools,-,-,-,-,-,-,-,-,43839,40818,
Total Government Schools,-,-,-,-,-,-,-,-,28822,28679,
Total Private Schools,-,-,-,-,-,-,-,-,14438,11541,
Ratio of Primary to U.PrimarySch./Sec.,-,-,-,-,-,-,-,-,1.8,1.8,
Primary Sch./Sec.per 1000 Child Popln.,-,-,-,-,-,-,-,-,10,11,
U.Prim. Sch./Sec.per 1000 Child Popln.,-,-,-,-,-,-,-,-,9,10,
"% Single-Teacher Schools with Enr.≥15",-,-,-,-,-,-,-,-,11.1,7.5,
"% Enrolment in Single-Teacher Schools",-,-,-,-,-,-,-,-,4.8,3.9,
"% Schools with Enrolment ≤ 50",-,-,-,-,-,-,-,-,36.9,38.5,
"% Schools with Female Teachers",-,-,-,-,-,-,-,-,83.7,82.4,
