Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),-,-,-,-,-,-,-,-,245914,229268
"% Teachers: Government",-,-,-,-,-,-,-,-,52.1,55.8
"% Teachers: Private Aided",-,-,-,-,-,-,-,-,1.7,1.6
"% Teachers: Private Unaided",-,-,-,-,-,-,-,-,45.2,41.6
Pupil-Teacher Ratio: Elementary,-,-,-,-,-,-,-,-,20,22
"% Female Teachers",-,-,-,-,-,-,-,-,50.8,49.8
"% SC Teachers",-,-,-,-,-,-,-,-,11.4,11.7
"% ST Teachers",-,-,-,-,-,-,-,-,7.2,7.9
"% OBC Teachers",-,-,-,-,-,-,-,-,44.6,44.1
"% Teachers Recieved in-Service Training",-,-,-,-,-,-,-,-,19.7,15.1
